Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.34439774617366E+00001, 0.14325699795835E-00002, 0.14365809900963E-00002, 0.12253245396087E+00000, 0.12250060751767E+00000, 0.11452726020690E+00001, 0.14323988782716E-00002, 0.14325699795835E-00002, 0.14325390241221E-00002, 0.40419659742612E-00005, 0.60199043847385E+00001, 0.10000151140233E+00001, 0.28581165588650E+00000, -.10671776651585E+00002, 0.14322277769598E-00002, 0.61910922767186E-00007
0.34676329932462E+00001, 0.14518334711969E-00002, 0.14530629140410E-00002, 0.12249723278416E+00000, 0.12246525148419E+00000, 0.11606250456526E+00001, 0.14516394673031E-00002, 0.14518334711969E-00002, 0.14517987118692E-00002, 0.12642021717547E-00005, 0.62455395809889E+00001, 0.10000153158237E+00001, 0.28577057556038E+00000, -.10671777151363E+00002, 0.14514454634092E-00002, 0.69518655367080E-00007
0.34912875979683E+00001, 0.14714920634580E-00002, 0.14707336349682E-00002, 0.12246126029805E+00000, 0.12242934802306E+00000, 0.11762892583037E+00001, 0.14712721624205E-00002, 0.14714920634580E-00002, 0.14714529850765E-00002, -.71935010827651E-00006, 0.64774680099586E+00001, 0.10000155212344E+00001, 0.28572861284565E+00000, -.10671777659965E+00002, 0.14710522613830E-00002, 0.78156763183786E-00007
0.35149414667833E+00001, 0.14915571440091E-00002, 0.14916720574736E-00002, 0.12242457210861E+00000, 0.12239282586435E+00000, 0.11922735762369E+00001, 0.14913084088417E-00002, 0.14915571440091E-00002, 0.14915134342720E-00002, 0.15862320158804E-00006, 0.67146650112006E+00001, 0.10000157306371E+00001, 0.28568580889806E+00000, -.10671778177775E+00002, 0.14910596736743E-00002, 0.87419474056921E-00007
0.35385947124958E+00001, 0.15120387873992E-00002, 0.15158556815722E-00002, 0.12238724271917E+00000, 0.12235558722872E+00000, 0.12085848919514E+00001, 0.15117583629320E-00002, 0.15120387873992E-00002, 0.15119903434679E-00002, 0.38653381043283E-00005, 0.69559130451836E+00001, 0.10000159441418E+00001, 0.28564225028191E+00000, -.10671778705192E+00002, 0.15114779384648E-00002, 0.96887862575055E-00007
0.35622473316475E+00001, 0.15329467649327E-00002, 0.15420995471421E-00002, 0.12234932542250E+00000, 0.12231755196614E+00000, 0.12252292905579E+00001, 0.15326313848604E-00002, 0.15329467649327E-00002, 0.15328933487203E-00002, 0.92061984218077E-00005, 0.71997969762708E+00001, 0.10000161614510E+00001, 0.28559799885212E+00000, -.10671779242631E+00002, 0.15323160047881E-00002, 0.10683242483934E-00006
0.35858964215046E+00001, 0.15542874396771E-00002, 0.15694824248326E-00002, 0.12231079026243E+00000, 0.12227866903327E+00000, 0.12422104762726E+00001, 0.15539332693930E-00002, 0.15542874396771E-00002, 0.15542285504988E-00002, 0.15253874333858E-00004, 0.74446639329954E+00001, 0.10000163821393E+00001, 0.28555301931799E+00000, -.10671779790452E+00002, 0.15535790991088E-00002, 0.11777835671501E-00006
0.36095409514024E+00001, 0.15760667709566E-00002, 0.15962170154864E-00002, 0.12227152098300E+00000, 0.12223891176719E+00000, 0.12595331503159E+00001, 0.15756698528711E-00002, 0.15760667709566E-00002, 0.15760019149010E-00002, 0.20215100585417E-00004, 0.76886752636634E+00001, 0.10000166062757E+00001, 0.28550717560509E+00000, -.10671780349072E+00002, 0.15752729347856E-00002, 0.12971211106560E-00006
0.36331814208108E+00001, 0.15982905822366E-00002, 0.16189201300229E-00002, 0.12223141674480E+00000, 0.12219831395225E+00000, 0.12772028369520E+00001, 0.15978471318023E-00002, 0.15982905822366E-00002, 0.15982194355824E-00002, 0.20700694440507E-00004, 0.79298450344778E+00001, 0.10000168347793E+00001, 0.28546034954648E+00000, -.10671780918949E+00002, 0.15974036813681E-00002, 0.14229330846185E-00006
0.36568182973043E+00001, 0.16209644355672E-00002, 0.16363902450585E-00002, 0.12219047451829E+00000, 0.12215697443058E+00000, 0.12952245741249E+00001, 0.16204705273315E-00002, 0.16209644355672E-00002, 0.16208866159577E-00002, 0.15503629100775E-00004, 0.81661027800195E+00001, 0.10000170690408E+00001, 0.28541253712044E+00000, -.10671781500536E+00002, 0.16199766190958E-00002, 0.15563921885674E-00006
0.36804518721535E+00001, 0.16440927805256E-00002, 0.16533879021529E-00002, 0.12214872716794E+00000, 0.12211495125207E+00000, 0.13136021808095E+00001, 0.16435442599342E-00002, 0.16440927805256E-00002, 0.16440077655665E-00002, 0.93801365863802E-00005, 0.83953533360633E+00001, 0.10000173099392E+00001, 0.28536377622016E+00000, -.10671782094272E+00002, 0.16429957393428E-00002, 0.17002991823831E-00006
0.37040820907820E+00001, 0.16676773117163E-00002, 0.16766967048669E-00002, 0.12210613187047E+00000, 0.12207215175810E+00000, 0.13323374509013E+00001, 0.16670703531135E-00002, 0.16676773117163E-00002, 0.16675847930951E-00002, 0.91119117718008E-00005, 0.86155143453861E+00001, 0.10000175571057E+00001, 0.28531401632876E+00000, -.10671782700574E+00002, 0.16664633945108E-00002, 0.18503724223587E-00006
0.37277092173493E+00001, 0.16917188541151E-00002, 0.17078012852958E-00002, 0.12206258100223E+00000, 0.12202837642026E+00000, 0.13514307778822E+00001, 0.16910501130448E-00002, 0.16917188541151E-00002, 0.16916188308196E-00002, 0.16182454476184E-00004, 0.88245569600464E+00001, 0.10000178092453E+00001, 0.28526313116399E+00000, -.10671783319853E+00002, 0.16903813719745E-00002, 0.20004659099594E-00006
0.37513335195919E+00001, 0.17162198670713E-00002, 0.17424424789899E-00002, 0.12201800596176E+00000, 0.12198346791361E+00000, 0.13708823956537E+00001, 0.17154858830684E-00002, 0.17162198670713E-00002, 0.17161122449059E-00002, 0.26330234083989E-00004, 0.90205601570330E+00001, 0.10000180652279E+00001, 0.28521103994733E+00000, -.10671783952499E+00002, 0.17147518990655E-00002, 0.21524433081128E-00006
0.37749552581094E+00001, 0.17411852337675E-00002, 0.17755538466144E-00002, 0.12197241502990E+00000, 0.12193739038644E+00000, 0.13906946334141E+00001, 0.17403822569759E-00002, 0.17411852337675E-00002, 0.17410696951045E-00002, 0.34484151509854E-00004, 0.92017963354871E+00001, 0.10000183249670E+00001, 0.28515775169767E+00000, -.10671784598872E+00002, 0.17395792801844E-00002, 0.23107732589922E-00006
0.37985747023870E+00001, 0.17666222073536E-00002, 0.18039160787879E-00002, 0.12192585191766E+00000, 0.12189020913082E+00000, 0.14108737713474E+00001, 0.17657467343680E-00002, 0.17666222073536E-00002, 0.17664985361564E-00002, 0.37417542631522E-00004, 0.93668768378487E+00001, 0.10000185894937E+00001, 0.28510331684925E+00000, -.10671785259306E+00002, 0.17648712613825E-00002, 0.24734239451438E-00006
0.38221921367821E+00001, 0.17925414877144E-00002, 0.18268626372015E-00002, 0.12187835610572E+00000, 0.12184203889830E+00000, 0.14314302595149E+00001, 0.17915904271086E-00002, 0.17925414877144E-00002, 0.17924096779134E-00002, 0.34452959288119E-00004, 0.95146093077959E+00001, 0.10000188603330E+00001, 0.28504778091369E+00000, -.10671785934106E+00002, 0.17906393665028E-00002, 0.26361960201026E-00006
0.38458078513102E+00001, 0.18189571183805E-00002, 0.18477798942996E-00002, 0.12182992621311E+00000, 0.12179296512349E+00000, 0.14523770461455E+00001, 0.18179275112138E-00002, 0.18189571183805E-00002, 0.18188171131262E-00002, 0.28962781173403E-00004, 0.96440515781697E+00001, 0.10000191386175E+00001, 0.28499114163205E+00000, -.10671786623567E+00002, 0.18168979040472E-00002, 0.28001050850731E-00006
0.38694221152531E+00001, 0.18458838046102E-00002, 0.18730088766774E-00002, 0.12178047691607E+00000, 0.12174295167487E+00000, 0.14737268291710E+00001, 0.18447728570969E-00002, 0.18458838046102E-00002, 0.18457354604653E-00002, 0.27273416212110E-00004, 0.97546060890121E+00001, 0.10000194244655E+00001, 0.28493329852917E+00000, -.10671787327972E+00002, 0.18436619095835E-00002, 0.29668828991820E-00006
0.38930351428417E+00001, 0.18733355922038E-00002, 0.19060867371639E-00002, 0.12172986052689E+00000, 0.12169183558701E+00000, 0.14954910383152E+00001, 0.18721411063082E-00002, 0.18733355922038E-00002, 0.18731789924365E-00002, 0.32907744727483E-00004, 0.98482756468896E+00001, 0.10000197170711E+00001, 0.28487407806127E+00000, -.10671788047570E+00002, 0.18709466204125E-00002, 0.31319953470752E-00006
0.39166470756125E+00001, 0.19013270536346E-00002, 0.19436052906109E-00002, 0.12167798486989E+00000, 0.12163945503777E+00000, 0.15176805922359E+00001, 0.19000475576909E-00002, 0.19013270536346E-00002, 0.19011625821462E-00002, 0.42442708464770E-00004, 0.99539188864208E+00001, 0.10000200154490E+00001, 0.28481337149075E+00000, -.10671788782573E+00002, 0.18987680617472E-00002, 0.32894297697815E-00006
0.39402566450354E+00001, 0.19298747506973E-00002, 0.19789175611417E-00002, 0.12162491349593E+00000, 0.12158578825455E+00000, 0.15403069948283E+00001, 0.19285089519822E-00002, 0.19298747506973E-00002, 0.19297027440401E-00002, 0.49214817101630E-00004, 0.10039753820583E+00002, 0.10000203191542E+00001, 0.28475125226056E+00000, -.10671789533102E+00002, 0.19271431532671E-00002, 0.34401331443836E-00006
0.39638589229795E+00001, 0.19589950125543E-00002, 0.20092671877451E-00002, 0.12157081373824E+00000, 0.12153094628982E+00000, 0.15633821813083E+00001, 0.19575415658253E-00002, 0.19589950125543E-00002, 0.19588155441429E-00002, 0.50451643602172E-00004, 0.10329764786996E+00002, 0.10000206283969E+00001, 0.28468791537195E+00000, -.10671790299128E+00002, 0.19560881190964E-00002, 0.35893682267511E-00006
0.39874525462849E+00001, 0.19887118545054E-00002, 0.20370468041005E-00002, 0.12151578812651E+00000, 0.12147503220889E+00000, 0.15869267495386E+00001, 0.19871700149748E-00002, 0.19887118545054E-00002, 0.19885250084848E-00002, 0.48521795615722E-00004, 0.10658429810003E+00002, 0.10000209437915E+00001, 0.28462348008848E+00000, -.10671791080719E+00002, 0.19856281754442E-00002, 0.37369204125863E-00006
0.40110362331525E+00001, 0.20190527116186E-00002, 0.20656041281259E-00002, 0.12145980881055E+00000, 0.12141807337905E+00000, 0.16109668391454E+00001, 0.20174234080342E-00002, 0.20190527116186E-00002, 0.20188587030726E-00002, 0.46745425053267E-00004, 0.11046168597213E+00002, 0.10000212659873E+00001, 0.28455791304003E+00000, -.10671791877953E+00002, 0.20157941044497E-00002, 0.38801709189004E-00006
0.40346103728167E+00001, 0.20500534000293E-00002, 0.20971324828883E-00002, 0.12140275923251E+00000, 0.12136003204266E+00000, 0.16355338599136E+00001, 0.20483382408744E-00002, 0.20500534000293E-00002, 0.20498524113759E-00002, 0.47280071512418E-00004, 0.11637428016521E+00002, 0.10000215954991E+00001, 0.28449107687531E+00000, -.10671792690924E+00002, 0.20466230817196E-00002, 0.40197730675869E-00006
0.40581753161246E+00001, 0.20817541311995E-00002, 0.21329921358740E-00002, 0.12134450305077E+00000, 0.12130083188788E+00000, 0.16606610669408E+00001, 0.20799547992905E-00002, 0.20817541311995E-00002, 0.20815462468819E-00002, 0.51445888992130E-00004, 0.12473709043000E+00002, 0.10000219324795E+00001, 0.28442281091217E+00000, -.10671793519687E+00002, 0.20781554673817E-00002, 0.41576863514902E-00006
0.40817300488703E+00001, 0.21141945029611E-00002, 0.21722779754560E-00002, 0.12128494940244E+00000, 0.12124039331390E+00000, 0.16863803876128E+00001, 0.21123129611447E-00002, 0.21141945029611E-00002, 0.21139800016768E-00002, 0.58297973779238E-00004, 0.13346128115383E+00002, 0.10000222765341E+00001, 0.28435300760667E+00000, -.10671794364235E+00002, 0.21104314193283E-00002, 0.42900256862470E-00006
0.41052744274940E+00001, 0.21474162303256E-00002, 0.22113618413718E-00002, 0.12122411504967E+00000, 0.12117869202438E+00000, 0.17127239311832E+00001, 0.21454545500522E-00002, 0.21474162303256E-00002, 0.21471956230919E-00002, 0.64166218279875E-00004, 0.14255405489351E+00002, 0.10000226268851E+00001, 0.28428168548075E+00000, -.10671795224600E+00002, 0.21434928697788E-00002, 0.44121446734537E-00006
0.41288090383195E+00001, 0.21814632388286E-00002, 0.22475496942047E-00002, 0.12116212641825E+00000, 0.12111578306421E+00000, 0.17397236491345E+00001, 0.21794229334920E-00002, 0.21814632388286E-00002, 0.21812369192548E-00002, 0.66312774949896E-00004, 0.15201823165402E+00002, 0.10000229827786E+00001, 0.28420899166898E+00000, -.10671796100890E+00002, 0.21773826281554E-00002, 0.45263914737400E-00006
0.41523345228859E+00001, 0.22163791061392E-00002, 0.22822061399553E-00002, 0.12109911465773E+00000, 0.12105173329030E+00000, 0.17674107606783E+00001, 0.22142607934315E-00002, 0.22163791061392E-00002, 0.22161471679180E-00002, 0.66058972037239E-00004, 0.16185090726552E+00002, 0.10000233439013E+00001, 0.28413507897680E+00000, -.10671796993302E+00002, 0.22121424807238E-00002, 0.46387644221594E-00006
