position, density-ex, pressure-ex, internal-energy-ex, velocity-ex, zero
0.930000, 1.836137, 0.077305, 0.105255, 0.289211, 0.
0.930500, 1.849109, 0.077507, 0.104790, 0.289482, 0.
0.931000, 1.862196, 0.077710, 0.104326, 0.289754, 0.
0.931500, 1.875398, 0.077914, 0.103864, 0.290026, 0.
0.932000, 1.888717, 0.078120, 0.103404, 0.290299, 0.
0.932500, 1.902174, 0.078328, 0.102946, 0.290573, 0.
0.933000, 1.915750, 0.078538, 0.102490, 0.290847, 0.
0.933500, 1.929448, 0.078749, 0.102036, 0.291122, 0.
0.934000, 1.943267, 0.078962, 0.101584, 0.291397, 0.
0.934500, 1.957231, 0.079177, 0.101134, 0.291673, 0.
0.935000, 1.971321, 0.079394, 0.100686, 0.291950, 0.
0.935500, 1.985538, 0.079612, 0.100240, 0.292227, 0.
0.936000, 1.999883, 0.079832, 0.099796, 0.292504, 0.
0.936500, 2.014380, 0.080054, 0.099354, 0.292783, 0.
0.937000, 2.029009, 0.080278, 0.098913, 0.293062, 0.
0.937500, 2.043771, 0.080503, 0.098474, 0.293341, 0.
0.938000, 2.058668, 0.080731, 0.098038, 0.293621, 0.
0.938500, 2.073724, 0.080960, 0.097603, 0.293902, 0.
0.939000, 2.088918, 0.081192, 0.097170, 0.294183, 0.
0.939500, 2.104253, 0.081425, 0.096739, 0.294465, 0.
0.940000, 2.119729, 0.081660, 0.096309, 0.294748, 0.
0.940500, 2.135372, 0.081897, 0.095882, 0.295031, 0.
0.941000, 2.151161, 0.082136, 0.095456, 0.295315, 0.
0.941500, 2.167097, 0.082377, 0.095032, 0.295599, 0.
0.942000, 2.183182, 0.082620, 0.094610, 0.295884, 0.
0.942500, 2.199442, 0.082866, 0.094190, 0.296170, 0.
0.943000, 2.215855, 0.083113, 0.093771, 0.296456, 0.
0.943500, 2.232423, 0.083362, 0.093355, 0.296743, 0.
0.944000, 2.249148, 0.083614, 0.092939, 0.297030, 0.
0.944500, 2.266057, 0.083868, 0.092526, 0.297318, 0.
0.945000, 2.283128, 0.084123, 0.092115, 0.297607, 0.
0.945500, 2.300361, 0.084381, 0.091705, 0.297896, 0.
0.946000, 2.317758, 0.084641, 0.091297, 0.298186, 0.
0.946500, 2.335350, 0.084904, 0.090890, 0.298477, 0.
0.947000, 2.353111, 0.085169, 0.090486, 0.298768, 0.
0.947500, 2.371044, 0.085436, 0.090083, 0.299060, 0.
0.948000, 2.389150, 0.085705, 0.089681, 0.299352, 0.
0.948500, 2.407461, 0.085976, 0.089282, 0.299645, 0.
0.949000, 2.425949, 0.086250, 0.088884, 0.299939, 0.
0.949500, 2.444619, 0.086527, 0.088487, 0.300233, 0.
0.950000, 2.463470, 0.086805, 0.088092, 0.300528, 0.
0.950500, 2.482537, 0.087086, 0.087699, 0.300824, 0.
0.951000, 2.501793, 0.087370, 0.087308, 0.301120, 0.
0.951500, 2.521238, 0.087656, 0.086918, 0.301417, 0.
0.952000, 2.540875, 0.087945, 0.086530, 0.301714, 0.
0.952500, 2.560740, 0.088236, 0.086143, 0.302013, 0.
0.953000, 2.580802, 0.088529, 0.085758, 0.302311, 0.
0.953500, 2.601065, 0.088826, 0.085375, 0.302611, 0.
0.954000, 2.621531, 0.089124, 0.084993, 0.302911, 0.
0.954500, 2.642236, 0.089426, 0.084612, 0.303211, 0.
0.955000, 2.663150, 0.089730, 0.084234, 0.303513, 0.
0.955500, 2.684276, 0.090037, 0.083856, 0.303815, 0.
0.956000, 2.705615, 0.090347, 0.083481, 0.304117, 0.
0.956500, 2.727207, 0.090659, 0.083107, 0.304421, 0.
0.957000, 2.749020, 0.090974, 0.082734, 0.304725, 0.
0.957500, 2.771055, 0.091292, 0.082363, 0.305029, 0.
0.958000, 2.793316, 0.091613, 0.081993, 0.305334, 0.
0.958500, 2.815845, 0.091937, 0.081625, 0.305640, 0.
0.959000, 2.838606, 0.092264, 0.081259, 0.305947, 0.
0.959500, 2.861603, 0.092593, 0.080893, 0.306254, 0.
0.960000, 2.884838, 0.092926, 0.080530, 0.306562, 0.
0.960500, 2.908355, 0.093262, 0.080167, 0.306870, 0.
0.961000, 2.932118, 0.093601, 0.079807, 0.307179, 0.
0.961500, 2.956130, 0.093942, 0.079447, 0.307489, 0.
0.962000, 2.980394, 0.094287, 0.079089, 0.307799, 0.
0.962500, 3.004956, 0.094635, 0.078733, 0.308111, 0.
0.963000, 3.029778, 0.094987, 0.078378, 0.308422, 0.
0.963500, 3.054864, 0.095341, 0.078024, 0.308735, 0.
0.964000, 3.080216, 0.095699, 0.077672, 0.309048, 0.
0.964500, 3.105883, 0.096060, 0.077322, 0.309361, 0.
0.965000, 3.131826, 0.096425, 0.076972, 0.309676, 0.
0.965500, 3.158046, 0.096793, 0.076624, 0.309991, 0.
0.966000, 3.184549, 0.097164, 0.076277, 0.310306, 0.
0.966500, 3.211386, 0.097539, 0.075932, 0.310623, 0.
0.967000, 3.238514, 0.097917, 0.075588, 0.310940, 0.
0.967500, 3.265937, 0.098299, 0.075246, 0.311257, 0.
0.968000, 3.293658, 0.098684, 0.074905, 0.311576, 0.
