Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.70833281271689E+00001, 0.68981583760851E-00002, 0.79231187386275E-00002, 0.97972437622164E-00001, 0.97911112763014E-00001, 0.55013651607241E+00001, 0.68913873092111E-00002, 0.68981583760851E-00002, 0.68935956427348E-00002, 0.10295230958927E-00002, 0.32266665597149E+00002, 0.10001530555500E+00001, 0.25556791350789E+00000, -.10672121145740E+00002, 0.68846162423371E-00002, 0.91254667006328E-00005
0.71124667970856E+00001, 0.69693927874912E-00002, 0.80719750880396E-00002, 0.97709108087870E-00001, 0.97647901536976E-00001, 0.55585265605162E+00001, 0.69627327562183E-00002, 0.69693927874912E-00002, 0.69649024300576E-00002, 0.11070726579820E-00002, 0.33737564955488E+00002, 0.10001545293902E+00001, 0.25522422571518E+00000, -.10672124836797E+00002, 0.69560727249454E-00002, 0.89807148674050E-00005
0.71415796188006E+00001, 0.70449298414101E-00002, 0.82353916960060E-00002, 0.97442769837732E-00001, 0.97381697763609E-00001, 0.56190773159220E+00001, 0.70383469367157E-00002, 0.70449298414101E-00002, 0.70404889484620E-00002, 0.11949027475439E-00002, 0.35092977561573E+00002, 0.10001560196629E+00001, 0.25487613964137E+00000, -.10672128569646E+00002, 0.70317640320212E-00002, 0.88817858962160E-00005
0.71706688045579E+00001, 0.71235667821459E-00002, 0.84055836357845E-00002, 0.97172142249035E-00001, 0.97111138116670E-00001, 0.56820405255458E+00001, 0.71170254380693E-00002, 0.71235667821459E-00002, 0.71191512990511E-00002, 0.12864323367333E-00002, 0.36306561658087E+00002, 0.10001575358880E+00001, 0.25452196008601E+00000, -.10672132362302E+00002, 0.71104840939927E-00002, 0.88309661896511E-00005
0.71997137731620E+00001, 0.72041057922858E-00002, 0.85761867012302E-00002, 0.96896344832395E-00001, 0.96835343334225E-00001, 0.57464625147894E+00001, 0.71975705703639E-00002, 0.72041057922858E-00002, 0.71996918360854E-00002, 0.13764948651448E-00002, 0.37357529599802E+00002, 0.10001590834820E+00001, 0.25416050680937E+00000, -.10672136227190E+00002, 0.71910353484420E-00002, 0.88279124006625E-00005
0.72287166613291E+00001, 0.72853698663330E-00002, 0.87436837521718E-00002, 0.96614455099164E-00001, 0.96553464407738E-00001, 0.58114213657184E+00001, 0.72788088426264E-00002, 0.72853698663330E-00002, 0.72809360166351E-00002, 0.14627477355367E-00002, 0.38230406766572E+00002, 0.10001606656694E+00001, 0.25379053712220E+00000, -.10672140176488E+00002, 0.72722478189199E-00002, 0.88676993957546E-00005
0.72576843289062E+00001, 0.73660564248390E-00002, 0.89049971770280E-00002, 0.96325784970224E-00001, 0.96264864987202E-00001, 0.58758898363883E+00001, 0.73594428643106E-00002, 0.73660564248390E-00002, 0.73615848875766E-00002, 0.15434122894513E-00002, 0.39732674081473E+00002, 0.10001622840780E+00001, 0.25341110863604E+00000, -.10672144219371E+00002, 0.73528293037822E-00002, 0.89430745248076E-00005
0.72866238598841E+00001, 0.74447584761108E-00002, 0.90595304596283E-00002, 0.96029980185672E-00001, 0.95969166554399E-00001, 0.59387466134777E+00001, 0.74380718365650E-00002, 0.74447584761108E-00002, 0.74402358575716E-00002, 0.16192946020566E-00002, 0.41985659090449E+00002, 0.10001639399347E+00001, 0.25302171209295E+00000, -.10672148360966E+00002, 0.74313851970193E-00002, 0.90452370782857E-00005
0.73155426134035E+00001, 0.75199559112140E-00002, 0.92056708887914E-00002, 0.95726955088551E-00001, 0.95666224241072E-00001, 0.59987800479003E+00001, 0.75131826945437E-00002, 0.75199559112140E-00002, 0.75153738566760E-00002, 0.16902970321154E-00002, 0.43771578225635E+00002, 0.10001656344115E+00001, 0.25262218837433E+00000, -.10672152602458E+00002, 0.75064094778734E-00002, 0.91641090759921E-00005
0.73444480097480E+00001, 0.75903058310597E-00002, 0.93381297721906E-00002, 0.95416940911390E-00001, 0.95356243727465E-00001, 0.60549253514018E+00001, 0.75834384416622E-00002, 0.75903058310597E-00002, 0.75856602563878E-00002, 0.17524695158028E-00002, 0.45034479656826E+00002, 0.10001673680890E+00001, 0.25221279495879E+00000, -.10672156941157E+00002, 0.75765710522646E-00002, 0.92911493438691E-00005
