"arc_length","Density","EnergyStagnationDensity","MomentumX"
1.593,0.79372,0.0702224,0.0588287
1.602,0.790833,0.0698689,0.0595036
1.611,0.787953,0.0695179,0.0601725
1.62,0.78508,0.0691694,0.0608355
1.629,0.782214,0.0688234,0.0614925
1.638,0.779355,0.0684799,0.0621438
1.647,0.776503,0.0681388,0.0627891
1.656,0.773658,0.0678002,0.0634286
1.665,0.770819,0.067464,0.0640623
1.674,0.767988,0.0671302,0.0646902
1.683,0.765164,0.0667988,0.0653123
1.692,0.762346,0.0664698,0.0659288
1.701,0.759535,0.0661432,0.0665394
1.71,0.756732,0.0658189,0.0671445
1.719,0.753935,0.0654969,0.0677437
1.728,0.751145,0.0651773,0.0683374
1.737,0.748362,0.06486,0.0689254
1.746,0.745585,0.0645449,0.0695079
1.755,0.742816,0.0642321,0.0700847
1.764,0.740053,0.0639216,0.070656
1.773,0.737297,0.0636134,0.0712216
1.782,0.734549,0.0633073,0.0717819
1.791,0.731806,0.0630035,0.0723365
1.8,0.729071,0.0627018,0.0728858
1.809,0.726343,0.0624024,0.0734295
1.818,0.723621,0.0621051,0.0739679
1.827,0.720906,0.0618099,0.0745008
1.836,0.718198,0.0615169,0.0750283
1.845,0.715496,0.0612261,0.0755505
1.854,0.712802,0.0609373,0.0760673
1.863,0.710114,0.0606506,0.0765788
1.872,0.707433,0.060366,0.077085
1.881,0.704758,0.0600835,0.0775859
1.89,0.702091,0.059803,0.0780816
1.899,0.69943,0.0595245,0.078572
1.908,0.696775,0.0592481,0.0790572
1.917,0.694128,0.0589736,0.0795372
1.926,0.691487,0.0587012,0.0800121
1.935,0.688853,0.0584307,0.0804817
1.944,0.686225,0.0581622,0.0809463
1.953,0.683604,0.0578957,0.0814058
1.962,0.68099,0.0576311,0.0818602
1.971,0.678382,0.0573684,0.0823095
1.98,0.675781,0.0571076,0.0827538
1.989,0.673187,0.0568487,0.083193
1.998,0.670599,0.0565917,0.0836273
2.007,0.668018,0.0563366,0.0840565
2.016,0.665443,0.0560833,0.0844809
2.025,0.662875,0.0558318,0.0849003
2.034,0.660313,0.0555822,0.0853148
2.043,0.657759,0.0553344,0.0857243
2.052,0.65521,0.0550883,0.0861291
2.061,0.652668,0.0548441,0.0865289
2.07,0.650133,0.0546017,0.086924
2.079,0.647604,0.054361,0.0873141
2.088,0.645082,0.054122,0.0876996
2.097,0.642566,0.0538848,0.0880803
2.106,0.640057,0.0536493,0.0884562
2.115,0.637554,0.0534155,0.0888274
2.124,0.635058,0.0531834,0.0891939
2.133,0.632568,0.052953,0.0895557
2.142,0.630085,0.0527242,0.0899129
2.151,0.627608,0.0524972,0.0902653
2.16,0.625138,0.0522717,0.0906132
2.169,0.622674,0.0520479,0.0909565
2.178,0.620216,0.0518257,0.0912952
2.187,0.617765,0.0516051,0.0916293
2.196,0.61532,0.0513861,0.0919589
2.205,0.612882,0.0511687,0.092284
2.214,0.61045,0.0509529,0.0926046
2.223,0.608025,0.0507386,0.0929206
2.232,0.605606,0.0505259,0.0932323
2.241,0.603193,0.0503147,0.0935394
2.25,0.600787,0.050105,0.0938422
2.259,0.598387,0.0498969,0.0941406
2.268,0.595993,0.0496902,0.0944346
2.277,0.593606,0.0494851,0.0947241
2.286,0.591225,0.0492814,0.0950094
2.295,0.588851,0.0490792,0.0952904
2.304,0.586482,0.0488784,0.095567
2.313,0.584121,0.0486791,0.0958394
2.322,0.581765,0.0484812,0.0961075
2.331,0.579416,0.0482847,0.0963713
2.34,0.577073,0.0480896,0.0966309
2.349,0.574737,0.047896,0.0968863
2.358,0.572407,0.0477037,0.0971376
2.367,0.570083,0.0475128,0.0973846
2.376,0.567765,0.0473233,0.0976276
2.385,0.565454,0.0471351,0.0978663
2.394,0.563149,0.0469483,0.098101
2.403,0.56085,0.0467628,0.0983316
2.412,0.558558,0.0465786,0.0985581
2.421,0.556272,0.0463957,0.0987806
2.43,0.553992,0.0462142,0.098999
2.439,0.551719,0.0460339,0.0992135
2.448,0.549451,0.0458549,0.0994239
2.457,0.54719,0.0456772,0.0996304
2.466,0.544936,0.0455007,0.0998329
2.475,0.542687,0.0453255,0.100031
2.484,0.540445,0.0451515,0.100226
2.493,0.538209,0.0449787,0.100417
2.502,0.535979,0.0448072,0.100604
2.511,0.533755,0.0446369,0.100787
2.52,0.531538,0.0444677,0.100966
2.529,0.529327,0.0442998,0.101141
2.538,0.527122,0.044133,0.101313
2.547,0.524923,0.0439674,0.101481
2.556,0.52273,0.043803,0.101645
2.565,0.520544,0.0436397,0.101805
2.574,0.518364,0.0434775,0.101962
2.583,0.51619,0.0433165,0.102115
2.592,0.514022,0.0431566,0.102264
2.601,0.51186,0.0429977,0.102409
2.61,0.509704,0.04284,0.102551
2.619,0.507555,0.0426834,0.102689
2.628,0.505412,0.0425278,0.102824
2.637,0.503274,0.0423734,0.102955
2.646,0.501143,0.0422199,0.103083
2.655,0.499018,0.0420676,0.103207
2.664,0.496899,0.0419162,0.103327
2.673,0.494786,0.0417659,0.103444
2.682,0.49268,0.0416166,0.103557
2.691,0.490579,0.0414684,0.103667
2.7,0.488484,0.0413211,0.103774
2.709,0.486395,0.0411748,0.103877
2.718,0.484313,0.0410295,0.103976
2.727,0.482236,0.0408852,0.104073
2.736,0.480166,0.0407418,0.104165
2.745,0.478101,0.0405994,0.104255
2.754,0.476042,0.040458,0.104341
2.763,0.47399,0.0403175,0.104424
2.772,0.471943,0.0401779,0.104503
2.781,0.469902,0.0400392,0.104579
2.79,0.467867,0.0399014,0.104652
2.799,0.465838,0.0397646,0.104722
2.808,0.463815,0.0396286,0.104789
2.817,0.461798,0.0394935,0.104852
2.826,0.459787,0.0393593,0.104912
2.835,0.457781,0.0392259,0.104969
2.844,0.455781,0.0390934,0.105022
2.853,0.453787,0.0389617,0.105073
2.862,0.451798,0.0388308,0.10512
2.871,0.449815,0.0387008,0.105165
2.88,0.447838,0.0385716,0.105206
2.889,0.445866,0.0384432,0.105244
2.898,0.4439,0.0383155,0.105279
2.907,0.441939,0.0381887,0.105311
2.916,0.439984,0.0380626,0.10534
2.925,0.438033,0.0379372,0.105366
2.934,0.436088,0.0378126,0.10539
2.943,0.434148,0.0376887,0.10541
2.952,0.432212,0.0375655,0.105427
2.961,0.430282,0.037443,0.105441
2.97,0.428355,0.0373212,0.105452
2.979,0.426432,0.0371999,0.105461
2.988,0.424513,0.0370793,0.105466
2.997,0.422593,0.036959,0.105469
3.006,0.420684,0.0368397,0.105468
3.015,0.41879,0.0367217,0.105465
3.024,0.416902,0.0366044,0.105459
3.033,0.415019,0.0364878,0.10545
3.042,0.413142,0.0363719,0.105438
3.051,0.41127,0.0362567,0.105424
3.06,0.409405,0.0361422,0.105407
3.069,0.407544,0.0360283,0.105387
3.078,0.40569,0.035915,0.105364
3.087,0.403841,0.0358025,0.105339
3.096,0.401998,0.0356905,0.105311
3.105,0.400161,0.0355793,0.10528
3.114,0.398329,0.0354686,0.105247
3.123,0.396503,0.0353586,0.105211
3.132,0.394682,0.0352491,0.105172
3.141,0.392868,0.0351403,0.105131
3.15,0.391058,0.0350321,0.105087
3.159,0.389255,0.0349245,0.105041
3.168,0.387456,0.0348175,0.104992
3.177,0.385664,0.0347111,0.10494
3.186,0.383877,0.0346052,0.104886
3.195,0.382095,0.0345,0.10483
3.204,0.380319,0.0343952,0.104771
3.213,0.378549,0.0342911,0.104709
3.222,0.376784,0.0341875,0.104646
3.231,0.375025,0.0340844,0.104579
3.24,0.373271,0.0339819,0.10451
3.249,0.371523,0.0338799,0.104439
3.258,0.36978,0.0337784,0.104366
3.267,0.368043,0.0336775,0.10429
3.276,0.366311,0.033577,0.104211
3.285,0.364585,0.0334771,0.104131
3.294,0.362864,0.0333777,0.104048
3.303,0.361149,0.0332787,0.103962
3.312,0.359439,0.0331803,0.103875
3.321,0.357735,0.0330823,0.103785
3.33,0.356036,0.0329848,0.103693
3.339,0.354342,0.0328878,0.103598
3.348,0.352654,0.0327913,0.103502
3.357,0.350971,0.0326952,0.103403
3.366,0.349294,0.0325996,0.103302
3.375,0.347622,0.0325044,0.103198
3.384,0.345955,0.0324097,0.103093
3.393,0.344294,0.0323154,0.102985
3.402,0.342638,0.0322215,0.102876
3.411,0.340988,0.0321281,0.102764
3.42,0.339343,0.032035,0.10265
3.429,0.337703,0.0319425,0.102534
3.438,0.336069,0.0318503,0.102416
3.447,0.334439,0.0317585,0.102296
3.456,0.332816,0.0316671,0.102174
3.465,0.331197,0.0315761,0.102049
3.474,0.329584,0.0314855,0.101923
3.483,0.327976,0.0313953,0.101795
3.492,0.326373,0.0313054,0.101665
3.501,0.324776,0.031216,0.101533
3.51,0.323184,0.0311269,0.101398
3.519,0.321597,0.0310381,0.101262
3.528,0.320015,0.0309498,0.101124
3.537,0.318439,0.0308617,0.100984
3.546,0.316868,0.0307741,0.100843
3.555,0.315302,0.0306867,0.100699
3.564,0.313741,0.0305997,0.100554
3.573,0.312185,0.0305131,0.100406
3.582,0.310635,0.0304267,0.100257
3.591,0.30909,0.0303408,0.100106
3.6,0.307549,0.0302551,0.099953
3.609,0.306014,0.0301697,0.0997983
3.618,0.304485,0.0300846,0.0996419
3.627,0.30296,0.0299999,0.0994837
3.636,0.30144,0.0299154,0.0993238
3.645,0.299926,0.0298313,0.0991621
3.654,0.298416,0.0297474,0.0989988
3.663,0.296912,0.0296638,0.0988336
3.672,0.295412,0.0295805,0.0986668
3.681,0.293918,0.0294975,0.0984984
3.69,0.292429,0.0294148,0.0983283
