"arc_length"	"Density","EnergyStagnationDensity","Ma","|m_i|"
0.249255	0.00765628	0.109639	0.0256537	0.00055622
0.251023	0.00778323	0.109642	0.0260034	0.000568482
0.252791	0.0079116	0.109645	0.0263387	0.000580522
0.254558	0.00804138	0.109649	0.0266596	0.00059234
0.256326	0.00818049	0.109652	0.0270733	0.000606806
0.258094	0.0083209	0.109656	0.0274715	0.00062102
0.259862	0.00846261	0.10966	0.027854	0.000634983
0.26163	0.00860561	0.109664	0.0282209	0.000648694
0.263397	0.00875891	0.109669	0.0286897	0.000665432
0.265165	0.00891346	0.109673	0.0291423	0.000681903
0.266933	0.00906928	0.109678	0.0295786	0.000698108
0.268701	0.00922635	0.109683	0.0299987	0.000714046
0.270468	0.00939494	0.109688	0.0305331	0.000733516
0.272236	0.00956479	0.109693	0.0310511	0.000752719
0.274004	0.00973589	0.109698	0.0315528	0.000771654
0.275772	0.00990824	0.109703	0.032038	0.000790323
0.277539	0.0100934	0.109709	0.0326523	0.000813141
0.279307	0.0102797	0.109715	0.0332503	0.000835698
0.281075	0.0104673	0.10972	0.0338318	0.000857992
0.282843	0.010656	0.109726	0.034397	0.000880024
0.28461	0.0108596	0.109733	0.0351056	0.000906911
0.286378	0.0110663	0.109739	0.0358024	0.000933746
0.288146	0.011274	0.109746	0.0364824	0.000960314
0.289914	0.0114826	0.109753	0.0371458	0.000986615
0.291682	0.0117109	0.10976	0.0379735	0.00101885
0.293449	0.0119403	0.109767	0.038787	0.00105091
0.295217	0.0121706	0.109775	0.0395864	0.00108279
0.296985	0.0124018	0.109782	0.0403716	0.0011145
0.298753	0.0126594	0.10979	0.041332	0.00115315
0.30052	0.012918	0.109798	0.0422799	0.0011917
0.302288	0.0131775	0.109807	0.0432154	0.00123015
0.304056	0.013438	0.109815	0.0441384	0.0012685
0.305824	0.0137322	0.109824	0.0452467	0.00131494
0.307591	0.0140275	0.109833	0.0463442	0.00136139
0.309359	0.0143241	0.109842	0.0474309	0.00140785
0.311127	0.0146218	0.109851	0.0485068	0.00145431
0.312895	0.0149625	0.109862	0.0497787	0.00151028
0.314663	0.015305	0.109872	0.0510417	0.00156642
0.31643	0.0156494	0.109882	0.0522958	0.00162271
0.318198	0.0159958	0.109892	0.053544	0.00167926
