"arc_length","Cspd","Density","eint","pres","velx"
1.503,0.312373,0.822973,0.0878194,0.048182,0.0628799
1.512,0.311999,0.820016,0.0876089,0.0478938,0.0640036
1.521,0.311624,0.817067,0.0873987,0.047607,0.0651273
1.53,0.31125,0.814124,0.0871887,0.0473216,0.066251
1.539,0.310875,0.811188,0.086979,0.0470375,0.0673748
1.548,0.3105,0.808259,0.0867695,0.0467548,0.0684986
1.557,0.310126,0.805337,0.0865603,0.0464735,0.0696224
1.566,0.309751,0.802422,0.0863513,0.0461935,0.0707462
1.575,0.309377,0.799515,0.0861425,0.0459148,0.07187
1.584,0.309002,0.796614,0.085934,0.0456375,0.0729939
1.593,0.308627,0.79372,0.0857258,0.0453615,0.0741178
1.602,0.308253,0.790833,0.0855178,0.0450869,0.0752417
1.611,0.307878,0.787953,0.0853101,0.0448136,0.0763656
1.62,0.307503,0.78508,0.0851026,0.0445415,0.0774895
1.629,0.307129,0.782214,0.0848953,0.0442709,0.0786135
1.638,0.306754,0.779355,0.0846883,0.0440015,0.0797374
1.647,0.30638,0.776503,0.0844816,0.0437335,0.0808614
1.656,0.306005,0.773658,0.0842751,0.0434667,0.0819854
1.665,0.30563,0.770819,0.0840688,0.0432013,0.0831094
1.674,0.305256,0.767988,0.0838628,0.0429371,0.0842334
1.683,0.304881,0.765164,0.0836571,0.0426742,0.0853574
1.692,0.304506,0.762346,0.0834516,0.0424127,0.0864815
1.701,0.304131,0.759535,0.0832464,0.0421524,0.0876055
1.71,0.303757,0.756732,0.0830414,0.0418934,0.0887296
1.719,0.303382,0.753935,0.0828366,0.0416356,0.0898536
1.728,0.303007,0.751145,0.0826322,0.0413791,0.0909777
1.737,0.302633,0.748362,0.0824279,0.0411239,0.0921018
1.746,0.302258,0.745585,0.0822239,0.04087,0.0932259
1.755,0.301883,0.742816,0.0820202,0.0406173,0.09435
1.764,0.301509,0.740053,0.0818167,0.0403658,0.0954742
1.773,0.301134,0.737297,0.0816135,0.0401156,0.0965983
1.782,0.300759,0.734549,0.0814105,0.0398666,0.0977224
1.791,0.300384,0.731806,0.0812078,0.0396189,0.0988466
1.8,0.30001,0.729071,0.0810053,0.0393724,0.0999707
1.809,0.299635,0.726343,0.080803,0.0391271,0.101095
1.818,0.29926,0.723621,0.0806011,0.0388831,0.102219
1.827,0.298886,0.720906,0.0803993,0.0386402,0.103343
1.836,0.298511,0.718198,0.0801978,0.0383986,0.104467
1.845,0.298136,0.715496,0.0799966,0.0381582,0.105592
1.854,0.297761,0.712802,0.0797956,0.037919,0.106716
1.863,0.297387,0.710114,0.0795949,0.037681,0.10784
1.872,0.297012,0.707433,0.0793944,0.0374442,0.108964
1.881,0.296637,0.704758,0.0791942,0.0372085,0.110089
1.89,0.296262,0.702091,0.0789942,0.0369741,0.111213
1.899,0.295888,0.69943,0.0787945,0.0367408,0.112337
1.908,0.295513,0.696775,0.078595,0.0365087,0.113462
1.917,0.295138,0.694128,0.0783958,0.0362778,0.114586
1.926,0.294763,0.691487,0.0781968,0.0360481,0.11571
1.935,0.294388,0.688853,0.0779981,0.0358195,0.116835
1.944,0.294014,0.686225,0.0777997,0.035592,0.117959
1.953,0.293639,0.683604,0.0776014,0.0353658,0.119083
1.962,0.293264,0.68099,0.0774035,0.0351406,0.120208
1.971,0.292889,0.678382,0.0772057,0.0349167,0.121332
1.98,0.292515,0.675781,0.0770083,0.0346938,0.122456
1.989,0.29214,0.673187,0.076811,0.0344721,0.123581
1.998,0.291765,0.670599,0.0766141,0.0342515,0.124705
2.007,0.29139,0.668018,0.0764173,0.0340321,0.12583
2.016,0.291015,0.665443,0.0762209,0.0338138,0.126954
2.025,0.29064,0.662875,0.0760246,0.0335966,0.128079
2.034,0.290266,0.660313,0.0758287,0.0333805,0.129203
2.043,0.289891,0.657759,0.0756329,0.0331655,0.130328
2.052,0.289516,0.65521,0.0754375,0.0329516,0.131453
2.061,0.289141,0.652668,0.0752422,0.0327388,0.132577
2.07,0.288766,0.650133,0.0750473,0.0325271,0.133702
2.079,0.288391,0.647604,0.0748525,0.0323166,0.134826
2.088,0.288016,0.645082,0.074658,0.032107,0.135951
2.097,0.287641,0.642566,0.0744638,0.0318986,0.137076
2.106,0.287267,0.640057,0.0742698,0.0316913,0.138201
2.115,0.286892,0.637554,0.0740761,0.031485,0.139325
2.124,0.286517,0.635058,0.0738826,0.0312798,0.14045
2.133,0.286142,0.632568,0.0736894,0.0310757,0.141575
2.142,0.285767,0.630085,0.0734964,0.0308726,0.1427
2.151,0.285392,0.627608,0.0733037,0.0306706,0.143824
2.16,0.285017,0.625138,0.0731112,0.0304697,0.144949
2.169,0.284642,0.622674,0.0729189,0.0302698,0.146074
2.178,0.284267,0.620216,0.0727269,0.0300709,0.147199
2.187,0.283892,0.617765,0.0725352,0.0298731,0.148324
2.196,0.283517,0.61532,0.0723437,0.0296764,0.149449
2.205,0.283142,0.612882,0.0721525,0.0294806,0.150574
2.214,0.282767,0.61045,0.0719615,0.0292859,0.151699
2.223,0.282392,0.608025,0.0717707,0.0290923,0.152824
2.232,0.282017,0.605606,0.0715803,0.0288996,0.153949
2.241,0.281642,0.603193,0.07139,0.028708,0.155074
2.25,0.281267,0.600787,0.0712,0.0285173,0.156199
2.259,0.280892,0.598387,0.0710103,0.0283277,0.157324
2.268,0.280517,0.595993,0.0708208,0.0281391,0.158449
2.277,0.280142,0.593606,0.0706316,0.0279515,0.159574
2.286,0.279767,0.591225,0.0704426,0.0277649,0.160699
2.295,0.279392,0.588851,0.0702538,0.0275793,0.161824
2.304,0.279017,0.586482,0.0700654,0.0273947,0.16295
2.313,0.278642,0.584121,0.0698771,0.0272111,0.164075
2.322,0.278267,0.581765,0.0696891,0.0270285,0.1652
2.331,0.277892,0.579416,0.0695014,0.0268468,0.166325
2.34,0.277517,0.577073,0.0693139,0.0266661,0.16745
2.349,0.277142,0.574737,0.0691267,0.0264865,0.168575
2.358,0.276767,0.572407,0.0689398,0.0263077,0.1697
2.367,0.276392,0.570083,0.068753,0.02613,0.170825
2.376,0.276016,0.567765,0.0685666,0.0259531,0.171951
2.385,0.275641,0.565454,0.0683804,0.0257773,0.173076
2.394,0.275266,0.563149,0.0681944,0.0256024,0.174201
2.403,0.274891,0.56085,0.0680087,0.0254285,0.175326
2.412,0.274516,0.558558,0.0678233,0.0252555,0.176451
2.421,0.274141,0.556272,0.0676381,0.0250835,0.177576
2.43,0.273766,0.553992,0.0674532,0.0249124,0.178701
2.439,0.273391,0.551719,0.0672685,0.0247422,0.179826
2.448,0.273016,0.549451,0.0670841,0.024573,0.180951
2.457,0.272641,0.54719,0.0668999,0.0244047,0.182076
2.466,0.272266,0.544936,0.066716,0.0242373,0.183201
2.475,0.271891,0.542687,0.0665324,0.0240708,0.184326
2.484,0.271516,0.540445,0.066349,0.0239053,0.185451
2.493,0.271141,0.538209,0.0661658,0.0237407,0.186576
2.502,0.270766,0.535979,0.065983,0.023577,0.187701
2.511,0.270391,0.533755,0.0658003,0.0234142,0.188826
2.52,0.270016,0.531538,0.065618,0.0232523,0.189951
2.529,0.269641,0.529327,0.0654359,0.0230913,0.191076
