"arc_length","sie"
4.518,0.0313922
4.527,0.0312665
4.536,0.031141
4.545,0.0310157
4.554,0.0308906
4.563,0.0307657
4.572,0.0306411
4.581,0.0305169
4.59,0.0303929
4.599,0.0302691
4.608,0.0301455
4.617,0.0300221
4.626,0.029899
4.635,0.0297763
4.644,0.0296538
4.653,0.0295316
4.662,0.0294095
4.671,0.0292877
4.68,0.0291661
4.689,0.0290448
4.698,0.0289237
4.707,0.028803
4.716,0.0286825
4.725,0.0285623
4.734,0.0284422
4.743,0.0283224
4.752,0.0282028
4.761,0.0280835
4.77,0.0279646
4.779,0.0278459
4.788,0.0277274
4.797,0.0276091
4.806,0.027491
4.815,0.0273732
4.824,0.0272557
4.833,0.0271384
4.842,0.0270215
4.851,0.0269048
4.86,0.0267884
4.869,0.0266721
4.878,0.026556
4.887,0.0264402
4.896,0.0263246
4.905,0.0262094
4.914,0.0260945
4.923,0.0259798
4.932,0.0258653
4.941,0.0257511
4.95,0.025637
4.959,0.0255232
4.968,0.0254096
4.977,0.0252964
4.986,0.0251834
4.995,0.0250708
5.004,0.0249583
5.013,0.0248461
5.022,0.024734
5.031,0.0246223
5.04,0.0245106
5.049,0.0243993
5.058,0.0242883
5.067,0.0241776
5.076,0.0240672
5.085,0.0239571
5.094,0.0238471
5.103,0.0237374
5.112,0.0236278
5.121,0.0235185
5.13,0.0234094
5.139,0.0233006
5.148,0.0231921
5.157,0.0230839
5.166,0.022976
5.175,0.0228684
5.184,0.0227609
5.193,0.0226537
5.202,0.0225466
5.211,0.0224398
5.22,0.0223332
5.229,0.0222269
5.238,0.0221209
5.247,0.0220153
5.256,0.0219099
5.265,0.0218048
5.274,0.0216998
5.283,0.0215952
5.292,0.0214906
5.301,0.0213864
5.31,0.0212823
5.319,0.0211785
5.328,0.021075
5.337,0.0209718
5.346,0.0208688
5.355,0.0207662
5.364,0.0206639
5.373,0.0205618
5.382,0.0204599
5.391,0.0203582
5.4,0.0202567
5.409,0.0201554
5.418,0.0200543
5.427,0.0199536
5.436,0.019853
5.445,0.0197529
5.454,0.019653
5.463,0.0195534
5.472,0.0194541
5.481,0.0193551
5.49,0.0192562
5.499,0.0191576
5.508,0.0190591
5.517,0.0189609
5.526,0.0188629
5.535,0.0187651
5.544,0.0186676
5.553,0.0185704
5.562,0.0184734
5.571,0.0183768
5.58,0.0182805
5.589,0.0181845
5.598,0.0180887
5.607,0.0179932
5.616,0.0178979
5.625,0.0178028
5.634,0.0177079
5.643,0.0176132
5.652,0.0175187
5.661,0.0174245
5.67,0.0173305
5.679,0.0172368
5.688,0.0171433
5.697,0.0170502
5.706,0.0169574
5.715,0.0168649
5.724,0.0167727
5.733,0.0166808
5.742,0.0165891
5.751,0.0164977
5.76,0.0164064
5.769,0.0163154
5.778,0.0162245
5.787,0.0161339
5.796,0.0160435
5.805,0.0159533
5.814,0.0158634
5.823,0.0157737
5.832,0.0156844
5.841,0.0155952
5.85,0.0155064
5.859,0.015418
5.868,0.0153298
5.877,0.0152419
5.886,0.0151543
5.895,0.015067
5.904,0.01498
5.913,0.0148934
5.922,0.0148069
5.931,0.0147208
5.94,0.0146348
5.949,0.0145491
5.958,0.0144635
5.967,0.0143782
5.976,0.0142933
5.985,0.0142088
5.994,0.0141239
6.003,0.0140409
6.012,0.0139426
6.021,0.0138545
6.03,0.0138418
6.039,0.0138525
6.048,0.0145006
6.057,0.0143992
6.066,0.0143446
6.075,0.014344
6.084,0.0143148
6.093,0.0143245
6.102,0.0143245
6.111,0.0143192
6.12,0.014316
6.129,0.0143149
6.138,0.0143159
6.147,0.0143133
6.156,0.014307
6.165,0.0143058
6.174,0.0143067
6.183,0.0143062
6.192,0.0143064
6.201,0.0143055
6.21,0.0143041
6.219,0.0143034
6.228,0.0143036
6.237,0.0143039
6.246,0.0143039
6.255,0.0143038
6.264,0.0143039
6.273,0.0143043
6.282,0.0143046
6.291,0.0143047
6.3,0.0143046
6.309,0.0143047
6.318,0.0143051
6.327,0.0143059
6.336,0.0143059
6.345,0.0143053
6.354,0.0143043
6.363,0.0143032
6.372,0.014302
6.381,0.0143003
6.39,0.0142985
6.399,0.0142967
6.408,0.0142956
6.417,0.0142959
6.426,0.0142969
6.435,0.0142992
6.444,0.0143022
6.453,0.014306
6.462,0.0143102
6.471,0.0143135
6.48,0.0143154
6.489,0.0143153
6.498,0.0143135
6.507,0.0143091
6.516,0.0143032
6.525,0.0142963
6.534,0.0142895
6.543,0.0142833
6.552,0.0142787
6.561,0.0142762
6.57,0.0142763
6.579,0.0142797
6.588,0.0142853
6.597,0.0142923
6.606,0.014299
6.615,0.0143009
6.624,0.0142961
6.633,0.0142707
6.642,0.0142326
6.651,0.0141916
6.66,0.0141111
6.669,0.0140174
6.678,0.013879
6.687,0.0136014
6.696,0.013252
6.705,0.0131845
6.714,0.0132868
6.723,0.0151892
6.732,0.166709
6.741,0.298934
6.75,0.268103
6.759,0.260003
6.768,0.237378
6.777,0.228748
6.786,0.21735
6.795,0.208572
6.804,0.200453
6.813,0.193651
6.822,0.187788
6.831,0.183173
6.84,0.179942
6.849,0.180221
6.858,0.187776
6.867,0.193789
6.876,0.192659
6.885,0.191671
6.894,0.1917
6.903,0.191576
6.912,0.19159
6.921,0.191594
6.93,0.191677
6.939,0.191978
6.948,0.192485
6.957,0.192775
6.966,0.192849
6.975,0.192825
6.984,0.192686
6.993,0.192858
7.002,0.192908
7.011,0.193233
7.02,0.193345
7.029,0.193355
7.038,0.193262
7.047,0.193183
7.056,0.193223
7.065,0.193157
7.074,0.193172
7.083,0.193166
7.092,0.193089
7.101,0.193132
7.11,0.193179
7.119,0.193271
7.128,0.193243
7.137,0.193173
7.146,0.19317
7.155,0.193127
7.164,0.193319
7.173,0.193291
7.182,0.19337
7.191,0.193283
7.2,0.193349
7.209,0.193318
7.218,0.193276
7.227,0.193372
7.236,0.193329
7.245,0.193276
7.254,0.193298
7.263,0.193278
7.272,0.193318
7.281,0.193327
7.29,0.193435
7.299,0.193319
7.308,0.193337
7.317,0.193364
7.326,0.193298
7.335,0.193356
7.344,0.193274
7.353,0.193337
7.362,0.193325
7.371,0.193342
7.38,0.193301
7.389,0.193311
7.398,0.193349
7.407,0.193334
7.416,0.193328
7.425,0.193354
7.434,0.193273
7.443,0.193332
7.452,0.193302
7.461,0.193352
7.47,0.193294
7.479,0.193285
7.488,0.193329
7.497,0.193315
7.506,0.193339
7.515,0.193279
7.524,0.19335
7.533,0.193341
7.542,0.193233
7.551,0.193374
7.56,0.193274
7.569,0.193379
7.578,0.193288
7.587,0.193363
7.596,0.193269
7.605,0.19329
7.614,0.193361
7.623,0.193307
7.632,0.193351
7.641,0.193323
7.65,0.193331
7.659,0.193352
7.668,0.193271
7.677,0.193317
7.686,0.193382
7.695,0.193343
7.704,0.193431
7.713,0.1932
7.722,0.193382
7.731,0.193296
7.74,0.193352
7.749,0.193373
7.758,0.193336
7.767,0.193301
7.776,0.193304
7.785,0.19333
7.794,0.193357
7.803,0.193416
7.812,0.193371
7.821,0.193275
7.83,0.193378
7.839,0.193321
7.848,0.193368
7.857,0.193337
7.866,0.193308
7.875,0.193464
7.884,0.193235
7.893,0.193344
7.902,0.193285
7.911,0.193423
7.92,0.19341
7.929,0.193341
7.938,0.193329
7.947,0.193339
7.956,0.193366
7.965,0.19335
7.974,0.193485
7.983,0.193365
7.992,0.0637523
8.001,2.67237e-07
8.01,9.99786e-08
8.019,1.00001e-07
8.028,9.99999e-08
8.037,9.99999e-08
8.046,9.99999e-08
8.055,9.99999e-08
8.064,9.99999e-08
8.073,9.99999e-08
8.082,9.99999e-08
8.091,9.99999e-08
8.1,9.99999e-08
8.109,9.99999e-08
8.118,9.99999e-08
8.127,9.99999e-08
8.136,9.99999e-08
8.145,9.99999e-08
8.154,9.99999e-08
8.163,9.99999e-08
8.172,9.99999e-08
8.181,9.99999e-08
8.19,9.99999e-08
8.199,9.99999e-08
8.208,9.99999e-08
8.217,9.99999e-08
8.226,9.99999e-08
8.235,9.99999e-08
8.244,9.99999e-08
8.253,9.99999e-08
8.262,9.99999e-08
8.271,9.99999e-08
8.28,9.99999e-08
8.289,9.99999e-08
8.298,9.99999e-08
8.307,9.99999e-08
8.316,9.99999e-08
8.325,9.99999e-08
8.334,9.99999e-08
8.343,9.99999e-08
8.352,9.99999e-08
8.361,9.99999e-08
8.37,9.99999e-08
8.379,9.99999e-08
8.388,9.99999e-08
8.397,9.99999e-08
8.406,9.99999e-08
8.415,9.99999e-08
8.424,9.99999e-08
8.433,9.99999e-08
8.442,9.99999e-08
8.451,9.99999e-08
8.46,9.99999e-08
8.469,9.99999e-08
8.478,9.99999e-08
8.487,9.99999e-08
8.496,9.99999e-08
8.505,9.99999e-08
8.514,9.99999e-08
8.523,9.99999e-08
8.532,9.99999e-08
8.541,9.99999e-08
8.55,9.99999e-08
8.559,9.99999e-08
8.568,9.99999e-08
8.577,9.99999e-08
8.586,9.99999e-08
8.595,9.99999e-08
8.604,9.99999e-08
8.613,9.99999e-08
8.622,9.99999e-08
8.631,9.99999e-08
8.64,9.99999e-08
8.649,9.99999e-08
8.658,9.99999e-08
8.667,9.99999e-08
8.676,9.99999e-08
8.685,9.99999e-08
8.694,9.99999e-08
8.703,9.99999e-08
8.712,9.99999e-08
8.721,9.99999e-08
8.73,9.99999e-08
8.739,9.99999e-08
8.748,9.99999e-08
8.757,9.99999e-08
8.766,9.99999e-08
8.775,9.99999e-08
8.784,9.99999e-08
8.793,9.99999e-08
8.802,9.99999e-08
8.811,9.99999e-08
8.82,9.99999e-08
8.829,9.99999e-08
8.838,9.99999e-08
8.847,9.99999e-08
8.856,9.99999e-08
8.865,9.99999e-08
8.874,9.99999e-08
8.883,9.99999e-08
8.892,9.99999e-08
8.901,9.99999e-08
8.91,9.99999e-08
8.919,9.99999e-08
8.928,9.99999e-08
8.937,9.99999e-08
8.946,9.99999e-08
8.955,9.99999e-08
8.964,9.99999e-08
8.973,9.99999e-08
8.982,9.99999e-08
8.991,9.99999e-08
9,9.99999e-08
