"arc_length","velocity"
5.67,0.5837
5.679,0.584826
5.688,0.585952
5.697,0.587077
5.706,0.588203
5.715,0.589329
5.724,0.590455
5.733,0.59158
5.742,0.592706
5.751,0.593831
5.76,0.594957
5.769,0.596083
5.778,0.597208
5.787,0.598334
5.796,0.599459
5.805,0.600585
5.814,0.601711
5.823,0.602836
5.832,0.603962
5.841,0.605087
5.85,0.606213
5.859,0.607338
5.868,0.608464
5.877,0.609589
5.886,0.610714
5.895,0.611838
5.904,0.612962
5.913,0.614085
5.922,0.615208
5.931,0.616331
5.94,0.617453
5.949,0.618575
5.958,0.619698
5.967,0.620819
5.976,0.621938
5.985,0.623054
5.994,0.62418
6.003,0.625283
6.012,0.626595
6.021,0.627774
6.03,0.627904
6.039,0.62781
6.048,0.619203
6.057,0.620544
6.066,0.621267
6.075,0.621279
6.084,0.621668
6.093,0.621543
6.102,0.621546
6.111,0.621617
6.12,0.62166
6.129,0.621674
6.138,0.621658
6.147,0.62169
6.156,0.621771
6.165,0.621783
6.174,0.621768
6.183,0.621774
6.192,0.62177
6.201,0.621782
6.21,0.621799
6.219,0.62181
6.228,0.621808
6.237,0.621805
6.246,0.621806
6.255,0.621809
6.264,0.62181
6.273,0.621808
6.282,0.621808
6.291,0.621813
6.3,0.62182
6.309,0.621826
6.318,0.621826
6.327,0.621822
6.336,0.621825
6.345,0.621831
6.354,0.621838
6.363,0.62184
6.372,0.621839
6.381,0.621839
6.39,0.621839
6.399,0.621842
6.408,0.621843
6.417,0.621838
6.426,0.621838
6.435,0.621837
6.444,0.621841
6.453,0.621843
6.462,0.621839
6.471,0.621839
6.48,0.621839
6.489,0.621839
6.498,0.621835
6.507,0.621836
6.516,0.621836
6.525,0.621837
6.534,0.621835
6.543,0.621835
6.552,0.621835
6.561,0.621837
6.57,0.621839
6.579,0.621834
6.588,0.621835
6.597,0.621836
6.606,0.621836
6.615,0.621836
6.624,0.621836
6.633,0.621838
6.642,0.621837
6.651,0.621838
6.66,0.621839
6.669,0.621838
6.678,0.621837
6.687,0.621839
6.696,0.621838
6.705,0.62184
6.714,0.62184
6.723,0.621828
6.732,0.621883
6.741,0.621823
6.75,0.621831
6.759,0.621797
6.768,0.621926
6.777,0.621842
6.786,0.621795
6.795,0.621824
6.804,0.621883
6.813,0.621913
6.822,0.62163
6.831,0.622003
6.84,0.621716
6.849,0.621881
6.858,0.62186
6.867,0.621823
6.876,0.62184
6.885,0.621819
6.894,0.621912
6.903,0.621798
6.912,0.621801
6.921,0.621907
6.93,0.621755
6.939,0.621902
6.948,0.621818
6.957,0.621813
6.966,0.621865
6.975,0.621748
6.984,0.622041
6.993,0.621602
7.002,0.622074
7.011,0.62173
7.02,0.621888
7.029,0.621849
7.038,0.621817
7.047,0.62191
7.056,0.621756
7.065,0.621933
7.074,0.621776
7.083,0.621776
7.092,0.621943
7.101,0.621767
7.11,0.621929
7.119,0.621701
7.128,0.621879
7.137,0.621927
7.146,0.621747
7.155,0.62198
7.164,0.621633
7.173,0.622003
7.182,0.621707
7.191,0.621986
7.2,0.621767
7.209,0.621797
7.218,0.621975
7.227,0.621743
7.236,0.621864
7.245,0.621884
7.254,0.621778
7.263,0.621874
7.272,0.621761
7.281,0.621958
7.29,0.621643
7.299,0.621932
7.308,0.621834
7.317,0.621735
7.326,0.621983
7.335,0.621683
7.344,0.621948
7.353,0.621772
7.362,0.621882
7.371,0.621818
7.38,0.62186
7.389,0.621887
7.398,0.621787
7.407,0.621824
7.416,0.621913
7.425,0.621768
7.434,0.621906
7.443,0.621747
7.452,0.621922
7.461,0.621708
7.47,0.621883
7.479,0.621906
7.488,0.621708
7.497,0.621873
7.506,0.621798
7.515,0.621958
7.524,0.621791
7.533,0.621741
7.542,0.622037
7.551,0.621644
7.56,0.622009
7.569,0.621675
7.578,0.622021
7.587,0.621707
7.596,0.621928
7.605,0.621857
7.614,0.621733
7.623,0.621936
7.632,0.621751
7.641,0.621953
7.65,0.621881
7.659,0.621681
7.668,0.621908
7.677,0.621839
7.686,0.621811
7.695,0.621962
7.704,0.621572
7.713,0.622188
7.722,0.62155
7.731,0.621987
7.74,0.621783
7.749,0.621813
7.758,0.621877
7.767,0.621815
7.776,0.621911
7.785,0.621834
7.794,0.621855
7.803,0.621797
7.812,0.621837
7.821,0.621948
7.83,0.621618
7.839,0.622006
7.848,0.621864
7.857,0.621766
7.866,0.62196
7.875,0.621567
7.884,0.622196
7.893,0.621793
7.902,0.622
7.911,0.621649
7.92,0.621642
7.929,0.621865
7.938,0.621749
7.947,0.621976
7.956,0.621836
7.965,0.621919
7.974,0.621472
7.983,0.621113
7.992,0.186013
8.001,1.41175e-05
8.01,-6.51009e-08
8.019,4.22713e-09
8.028,8.881e-13
8.037,-4.03995e-17
8.046,-6.3887e-20
8.055,-3.61077e-20
8.064,-9.50745e-21
8.073,1.94111e-20
8.082,4.54579e-20
8.091,3.1648e-20
8.1,2.24986e-19
8.109,1.06795e-19
8.118,-1.14218e-20
8.127,-3.54429e-20
8.136,-6.04336e-20
8.145,-3.64507e-20
8.154,-9.42282e-21
8.163,1.93945e-20
8.172,4.54591e-20
8.181,3.16456e-20
8.19,2.24983e-19
8.199,1.06798e-19
8.208,-1.14228e-20
8.217,-3.54323e-20
8.226,-6.04142e-20
8.235,-3.6467e-20
8.244,-9.24607e-21
8.253,1.90945e-20
8.262,4.75522e-20
8.271,2.97131e-20
8.28,1.18778e-20
8.289,1.02686e-19
8.298,-1.7464e-20
8.307,-4.01927e-20
8.316,-6.29286e-20
8.325,-3.6146e-20
8.334,-9.28205e-21
8.343,1.88328e-20
8.352,4.71567e-20
8.361,2.87993e-20
8.37,2.25606e-19
8.379,1.06793e-19
8.388,-1.14909e-20
8.397,-3.5535e-20
8.406,-5.96352e-20
8.415,-3.49282e-20
8.424,-9.57923e-21
8.433,1.88308e-20
8.442,4.71632e-20
8.451,2.88087e-20
8.46,2.25607e-19
8.469,1.06797e-19
8.478,-1.14965e-20
8.487,-3.55536e-20
8.496,-5.90532e-20
8.505,-3.63729e-20
8.514,-1.01403e-20
8.523,1.91577e-20
8.532,4.75556e-20
8.541,2.97231e-20
8.55,1.1888e-20
8.559,1.02735e-19
8.568,-1.7461e-20
8.577,-4.02128e-20
8.586,-6.29504e-20
8.595,-3.61385e-20
8.604,-9.34844e-21
8.613,1.91801e-20
8.622,4.72027e-20
8.631,2.84561e-20
8.64,2.17151e-19
8.649,1.06366e-19
8.658,-1.12804e-20
8.667,-3.55767e-20
8.676,-5.9626e-20
8.685,-3.49868e-20
8.694,-1.04023e-20
8.703,1.87957e-20
8.712,4.71772e-20
8.721,2.84562e-20
8.73,2.17144e-19
8.739,1.06363e-19
8.748,-1.12791e-20
8.757,-3.55634e-20
8.766,-5.97123e-20
8.775,-3.46043e-20
8.784,-1.2307e-20
8.793,1.8811e-20
8.802,4.75365e-20
8.811,2.97372e-20
8.82,1.18762e-20
8.829,1.02796e-19
8.838,-1.7463e-20
8.847,-4.01917e-20
8.856,-6.29387e-20
8.865,-3.61291e-20
8.874,-9.32167e-21
8.883,1.90774e-20
8.892,4.7614e-20
8.901,2.96524e-20
8.91,9.7736e-21
8.919,9.93926e-20
8.928,-1.29857e-20
8.937,-3.53979e-20
8.946,-5.96416e-20
8.955,-3.49564e-20
8.964,-1.03481e-20
8.973,1.74618e-20
8.982,4.62049e-20
8.991,3.66387e-20
9,1.37495e-19
