"arc_length","Density"
3.753,0.282072
3.762,0.280623
3.771,0.279178
3.78,0.277738
3.789,0.276304
3.798,0.274874
3.807,0.273449
3.816,0.272029
3.825,0.270615
3.834,0.269205
3.843,0.2678
3.852,0.2664
3.861,0.265005
3.87,0.263615
3.879,0.26223
3.888,0.26085
3.897,0.259474
3.906,0.258104
3.915,0.256738
3.924,0.255377
3.933,0.254022
3.942,0.252671
3.951,0.251325
3.96,0.249983
3.969,0.248647
3.978,0.247315
3.987,0.245989
3.996,0.244667
4.005,0.24335
4.014,0.242037
4.023,0.24073
4.032,0.239427
4.041,0.238129
4.05,0.236836
4.059,0.235548
4.068,0.234264
4.077,0.232986
4.086,0.231711
4.095,0.230442
4.104,0.229177
4.113,0.227918
4.122,0.226662
4.131,0.225411
4.14,0.224165
4.149,0.222924
4.158,0.221688
4.167,0.220456
4.176,0.219228
4.185,0.218005
4.194,0.216787
4.203,0.215574
4.212,0.214365
4.221,0.21316
4.23,0.21196
4.239,0.210764
4.248,0.209574
4.257,0.208387
4.266,0.207205
4.275,0.206027
4.284,0.204854
4.293,0.203686
4.302,0.202522
4.311,0.201362
4.32,0.200206
4.329,0.199056
4.338,0.197909
4.347,0.196767
4.356,0.19563
4.365,0.194496
4.374,0.193367
4.383,0.192242
4.392,0.191122
4.401,0.190006
4.41,0.188894
4.419,0.187786
4.428,0.186683
4.437,0.185585
4.446,0.18449
4.455,0.1834
4.464,0.182314
4.473,0.181232
4.482,0.180154
4.491,0.179081
4.5,0.178013
4.509,0.176948
4.518,0.175887
4.527,0.174831
4.536,0.173779
4.545,0.172731
4.554,0.171687
4.563,0.170648
4.572,0.169613
4.581,0.168582
4.59,0.167554
4.599,0.166532
4.608,0.165513
4.617,0.164499
4.626,0.163489
4.635,0.162483
4.644,0.16148
4.653,0.160482
4.662,0.159488
4.671,0.158499
4.68,0.157514
4.689,0.156532
4.698,0.155555
4.707,0.154581
4.716,0.153612
4.725,0.152646
4.734,0.151685
4.743,0.150728
4.752,0.149776
4.761,0.148827
4.77,0.147881
4.779,0.14694
4.788,0.146002
4.797,0.145069
4.806,0.144141
4.815,0.143216
4.824,0.142295
4.833,0.141377
4.842,0.140464
4.851,0.139554
4.86,0.138648
4.869,0.137747
4.878,0.136849
4.887,0.135956
4.896,0.135066
4.905,0.13418
4.914,0.133298
4.923,0.132419
4.932,0.131544
4.941,0.130674
4.95,0.129807
4.959,0.128945
4.968,0.128086
4.977,0.127231
4.986,0.126379
4.995,0.125531
5.004,0.124686
5.013,0.123846
5.022,0.123009
5.031,0.122177
