"arc_length","pressure"
4.554,0.00212141
4.563,0.00210005
4.572,0.00207885
4.581,0.00205784
4.59,0.00203698
4.599,0.00201631
4.608,0.00199579
4.617,0.00197545
4.626,0.00195527
4.635,0.00193525
4.644,0.0019154
4.653,0.00189572
4.662,0.00187619
4.671,0.00185683
4.68,0.00183762
4.689,0.00181858
4.698,0.00179969
4.707,0.00178096
4.716,0.00176239
4.725,0.00174397
4.734,0.00172571
4.743,0.0017076
4.752,0.00168964
4.761,0.00167183
4.77,0.00165417
4.779,0.00163667
4.788,0.00161931
4.797,0.0016021
4.806,0.00158503
4.815,0.00156811
4.824,0.00155134
4.833,0.0015347
4.842,0.00151822
4.851,0.00150187
4.86,0.00148566
4.869,0.0014696
4.878,0.00145367
4.887,0.00143788
4.896,0.00142223
4.905,0.00140671
4.914,0.00139133
4.923,0.00137609
4.932,0.00136097
4.941,0.001346
4.95,0.00133115
4.959,0.00131643
4.968,0.00130184
4.977,0.00128739
4.986,0.00127306
4.995,0.00125886
5.004,0.00124478
5.013,0.00123083
5.022,0.00121701
5.031,0.00120331
5.04,0.00118973
5.049,0.00117628
5.058,0.00116294
5.067,0.00114973
5.076,0.00113664
5.085,0.00112367
5.094,0.00111081
5.103,0.00109808
5.112,0.00108546
5.121,0.00107296
5.13,0.00106057
5.139,0.00104829
5.148,0.00103613
5.157,0.00102409
5.166,0.00101215
5.175,0.00100033
5.184,0.000988611
5.193,0.00097701
5.202,0.000965514
5.211,0.000954129
5.22,0.000942848
5.229,0.000931677
5.238,0.00092061
5.247,0.000909649
5.256,0.000898792
5.265,0.00088804
5.274,0.000877389
5.283,0.000866844
5.292,0.000856397
5.301,0.000846053
5.31,0.000835807
5.319,0.000825662
5.328,0.000815615
5.337,0.000805667
5.346,0.000795814
5.355,0.00078606
5.364,0.000776399
5.373,0.000766836
5.382,0.000757365
5.391,0.00074799
5.4,0.000738707
5.409,0.000729516
5.418,0.000720416
5.427,0.000711408
5.436,0.000702489
5.445,0.000693661
5.454,0.000684922
5.463,0.000676271
5.472,0.000667706
5.481,0.000659231
5.49,0.000650839
5.499,0.000642534
5.508,0.000634313
5.517,0.000626179
5.526,0.000618126
5.535,0.000610157
5.544,0.000602268
5.553,0.000594463
5.562,0.000586738
5.571,0.000579095
5.58,0.000571529
5.589,0.000564045
5.598,0.000556638
5.607,0.00054931
5.616,0.000542058
5.625,0.000534884
5.634,0.000527785
5.643,0.000520763
5.652,0.000513815
5.661,0.000506942
5.67,0.000500142
5.679,0.000493416
5.688,0.000486762
5.697,0.000480181
5.706,0.00047367
5.715,0.000467231
5.724,0.000460862
5.733,0.000454563
5.742,0.000448333
5.751,0.000442173
5.76,0.000436079
5.769,0.000430055
5.778,0.000424096
5.787,0.000418203
5.796,0.000412376
5.805,0.000406615
5.814,0.000400917
5.823,0.000395285
5.832,0.000389715
5.841,0.000384208
5.85,0.000378763
5.859,0.000373382
5.868,0.000368061
5.877,0.000362803
5.886,0.000357606
5.895,0.000352471
5.904,0.000347397
5.913,0.000342386
5.922,0.000337434
5.931,0.000332542
5.94,0.000327706
5.949,0.000322928
5.958,0.000318204
5.967,0.000313541
5.976,0.000308942
5.985,0.00030441
5.994,0.00029989
6.003,0.000295516
6.012,0.000290377
6.021,0.000285823
6.03,0.000285324
6.039,0.000285682
6.048,0.000320281
6.057,0.000314678
6.066,0.000311691
6.075,0.000311643
6.084,0.000310046
6.093,0.000310556
6.102,0.000310545
6.111,0.000310253
6.12,0.000310077
6.129,0.000310021
6.138,0.000310083
6.147,0.000309955
6.156,0.000309623
6.165,0.000309573
6.174,0.000309635
6.183,0.000309612
6.192,0.000309626
6.201,0.000309579
6.21,0.000309507
6.219,0.000309464
6.228,0.000309472
6.237,0.000309486
6.246,0.000309482
6.255,0.000309468
6.264,0.000309465
6.273,0.000309473
6.282,0.000309472
6.291,0.000309453
6.3,0.000309426
6.309,0.000309401
6.318,0.000309399
6.327,0.000309419
6.336,0.000309405
6.345,0.000309379
6.354,0.000309351
6.363,0.000309341
6.372,0.000309348
6.381,0.000309347
6.39,0.000309346
6.399,0.000309334
6.408,0.000309329
6.417,0.000309351
6.426,0.000309352
6.435,0.000309353
6.444,0.000309339
6.453,0.000309331
6.462,0.000309345
6.471,0.000309347
6.48,0.000309347
6.489,0.000309344
6.498,0.000309362
6.507,0.000309358
6.516,0.000309356
6.525,0.000309352
6.534,0.00030936
6.543,0.000309358
6.552,0.000309359
6.561,0.000309352
6.57,0.000309345
6.579,0.000309363
6.588,0.00030936
6.597,0.000309355
6.606,0.000309356
6.615,0.000309354
6.624,0.000309355
6.633,0.000309349
6.642,0.000309351
6.651,0.00030935
6.66,0.000309346
6.669,0.000309353
6.678,0.000309355
6.687,0.000309349
6.696,0.000309352
6.705,0.000309348
6.714,0.000309351
6.723,0.000309394
6.732,0.000309277
6.741,0.000309407
6.75,0.000309391
6.759,0.000309363
6.768,0.000309265
6.777,0.000309371
6.786,0.000309377
6.795,0.000309375
6.804,0.000309294
6.813,0.000309279
6.822,0.000309587
6.831,0.00030916
6.84,0.000309496
6.849,0.000309276
6.858,0.000309405
6.867,0.000309363
6.876,0.00030931
6.885,0.000309405
6.894,0.0003093
6.903,0.000309368
6.912,0.000309369
6.921,0.00030933
6.93,0.000309431
6.939,0.000309293
6.948,0.000309405
6.957,0.000309363
6.966,0.000309329
6.975,0.000309438
6.984,0.000309134
6.993,0.000309621
7.002,0.000309105
7.011,0.00030944
7.02,0.000309283
7.029,0.000309403
7.038,0.000309364
7.047,0.000309237
7.056,0.000309479
7.065,0.000309264
7.074,0.000309378
7.083,0.000309418
7.092,0.000309275
7.101,0.000309404
7.11,0.000309272
7.119,0.000309468
7.128,0.000309315
7.137,0.000309305
7.146,0.000309423
7.155,0.000309137
7.164,0.000309642
7.173,0.00030919
7.182,0.000309444
7.191,0.000309192
7.2,0.000309467
7.209,0.000309375
7.218,0.000309173
7.227,0.000309482
7.236,0.000309319
7.245,0.000309265
7.254,0.000309419
7.263,0.000309333
7.272,0.000309406
7.281,0.000309223
7.29,0.000309592
7.299,0.000309242
7.308,0.000309295
7.317,0.00030945
7.326,0.000309195
7.335,0.000309492
7.344,0.00030922
7.353,0.000309374
7.362,0.000309306
7.371,0.000309387
7.38,0.000309289
7.389,0.000309282
7.398,0.000309434
7.407,0.000309345
7.416,0.000309232
7.425,0.000309428
7.434,0.000309271
7.443,0.000309424
7.452,0.000309278
7.461,0.000309494
7.47,0.000309257
7.479,0.000309278
7.488,0.000309453
7.497,0.000309276
7.506,0.00030944
7.515,0.00030921
7.524,0.000309363
7.533,0.000309472
7.542,0.000309139
7.551,0.000309531
7.56,0.000309154
7.569,0.00030956
7.578,0.000309127
7.587,0.000309486
7.596,0.000309278
7.605,0.000309332
7.614,0.000309442
7.623,0.000309213
7.632,0.000309406
7.641,0.00030926
7.65,0.00030933
7.659,0.000309482
7.668,0.000309272
7.677,0.000309384
7.686,0.000309368
7.695,0.000309196
7.704,0.000309675
7.713,0.000308974
7.722,0.000309648
7.731,0.000309197
7.74,0.000309438
7.749,0.000309367
7.758,0.000309304
7.767,0.000309344
7.776,0.000309271
7.785,0.000309418
7.794,0.000309331
7.803,0.000309397
7.812,0.000309408
7.821,0.000309258
7.83,0.000309593
7.839,0.00030921
7.848,0.000309368
7.857,0.000309427
7.866,0.000309241
7.875,0.000309705
7.884,0.000308959
7.893,0.000309415
7.902,0.000309228
7.911,0.00030958
7.92,0.000309555
7.929,0.000309317
7.938,0.000309441
7.947,0.000309224
7.956,0.000309399
7.965,0.00030926
7.974,0.000309826
7.983,0.000309492
7.992,3.52698e-05
8.001,1.06864e-10
8.01,3.99912e-11
8.019,4.00005e-11
8.028,4e-11
8.037,4e-11
8.046,4e-11
8.055,4e-11
8.064,4e-11
8.073,4e-11
8.082,4e-11
8.091,4e-11
8.1,4e-11
8.109,4e-11
8.118,4e-11
8.127,4e-11
8.136,4e-11
8.145,4e-11
8.154,4e-11
8.163,4e-11
8.172,4e-11
8.181,4e-11
8.19,4e-11
8.199,4e-11
8.208,4e-11
8.217,4e-11
8.226,4e-11
8.235,4e-11
8.244,4e-11
8.253,4e-11
8.262,4e-11
8.271,4e-11
8.28,4e-11
8.289,4e-11
8.298,4e-11
8.307,4e-11
8.316,4e-11
8.325,4e-11
8.334,4e-11
8.343,4e-11
8.352,4e-11
8.361,4e-11
8.37,4e-11
8.379,4e-11
8.388,4e-11
8.397,4e-11
8.406,4e-11
8.415,4e-11
8.424,4e-11
8.433,4e-11
8.442,4e-11
8.451,4e-11
8.46,4e-11
8.469,4e-11
8.478,4e-11
8.487,4e-11
8.496,4e-11
8.505,4e-11
8.514,4e-11
8.523,4e-11
8.532,4e-11
8.541,4e-11
8.55,4e-11
8.559,4e-11
8.568,4e-11
8.577,4e-11
8.586,4e-11
8.595,4e-11
8.604,4e-11
8.613,4e-11
8.622,4e-11
8.631,4e-11
8.64,4e-11
8.649,4e-11
8.658,4e-11
8.667,4e-11
8.676,4e-11
8.685,4e-11
8.694,4e-11
8.703,4e-11
8.712,4e-11
8.721,4e-11
8.73,4e-11
8.739,4e-11
8.748,4e-11
8.757,4e-11
8.766,4e-11
8.775,4e-11
8.784,4e-11
8.793,4e-11
8.802,4e-11
8.811,4e-11
8.82,4e-11
8.829,4e-11
8.838,4e-11
8.847,4e-11
8.856,4e-11
8.865,4e-11
8.874,4e-11
8.883,4e-11
8.892,4e-11
8.901,4e-11
8.91,4e-11
8.919,4e-11
8.928,4e-11
8.937,4e-11
8.946,4e-11
8.955,4e-11
8.964,4e-11
8.973,4e-11
8.982,4e-11
8.991,4e-11
9,4e-11
