# Exact Riemann solution for problem: user
# Discretization: nodal
# Domain bounds: [0.00000e+00,1.00000e+00]
# Iterface position: 3.00000e-01
# Gamma: 1.66667e+00
# Left  state [dens,velx,pres]: [1.00000e+00, 0.00000e+00, 6.66667e+01]
# Right state [dens,velx,pres]: [2.00000e-01, 0.00000e+00, 6.66700e-02]
# Time: 1.81200e-02
                   x                 dens                 pres                 velx                 eint                 cspd
  6.700000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  6.800000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  6.900000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  7.000000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  7.100000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  7.200000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  7.300000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  7.400000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  7.500000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  7.600000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  7.700000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  7.800000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  7.900000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  8.000000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  8.100000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  8.200000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  8.300000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  8.400000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  8.500000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  8.600000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  8.700000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  8.800000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  8.900000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  9.000000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  9.100000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  9.200000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  9.300000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  9.400000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  9.500000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  9.600000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  9.700000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  9.800000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  9.900000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  1.000000000000e+00   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
