xcoord, vel_exact, zero
2.735000e-01,	4.226330e-02,	 0
2.745000e-01,	4.642996e-02,	 0
2.755000e-01,	5.059663e-02,	 0
2.765000e-01,	5.476330e-02,	 0
2.775000e-01,	5.892996e-02,	 0
2.785000e-01,	6.309663e-02,	 0
2.795000e-01,	6.726330e-02,	 0
2.805000e-01,	7.142996e-02,	 0
2.815000e-01,	7.559663e-02,	 0
2.825000e-01,	7.976330e-02,	 0
2.835000e-01,	8.392996e-02,	 0
2.845000e-01,	8.809663e-02,	 0
2.855000e-01,	9.226330e-02,	 0
2.865000e-01,	9.642996e-02,	 0
2.875000e-01,	1.005966e-01,	 0
2.885000e-01,	1.047633e-01,	 0
2.895000e-01,	1.089300e-01,	 0
2.905000e-01,	1.130966e-01,	 0
2.915000e-01,	1.172633e-01,	 0
2.925000e-01,	1.214300e-01,	 0
2.935000e-01,	1.255966e-01,	 0
2.945000e-01,	1.297633e-01,	 0
2.955000e-01,	1.339300e-01,	 0
2.965000e-01,	1.380966e-01,	 0
2.975000e-01,	1.422633e-01,	 0
2.985000e-01,	1.464300e-01,	 0
2.995000e-01,	1.505966e-01,	 0
3.005000e-01,	1.547633e-01,	 0
3.015000e-01,	1.589300e-01,	 0
3.025000e-01,	1.630966e-01,	 0
3.035000e-01,	1.672633e-01,	 0
3.045000e-01,	1.714300e-01,	 0
3.055000e-01,	1.755966e-01,	 0
3.065000e-01,	1.797633e-01,	 0
3.075000e-01,	1.839300e-01,	 0
3.085000e-01,	1.880966e-01,	 0
3.095000e-01,	1.922633e-01,	 0
3.105000e-01,	1.964300e-01,	 0
3.115000e-01,	2.005966e-01,	 0
3.125000e-01,	2.047633e-01,	 0
3.135000e-01,	2.089300e-01,	 0
3.145000e-01,	2.130966e-01,	 0
3.155000e-01,	2.172633e-01,	 0
3.165000e-01,	2.214300e-01,	 0
3.175000e-01,	2.255966e-01,	 0
3.185000e-01,	2.297633e-01,	 0
3.195000e-01,	2.339300e-01,	 0
3.205000e-01,	2.380966e-01,	 0
3.215000e-01,	2.422633e-01,	 0
3.225000e-01,	2.464300e-01,	 0
3.235000e-01,	2.505966e-01,	 0
3.245000e-01,	2.547633e-01,	 0
3.255000e-01,	2.589300e-01,	 0
3.265000e-01,	2.630966e-01,	 0
3.275000e-01,	2.672633e-01,	 0
3.285000e-01,	2.714300e-01,	 0
3.295000e-01,	2.755966e-01,	 0
3.305000e-01,	2.797633e-01,	 0
3.315000e-01,	2.839300e-01,	 0
3.325000e-01,	2.880966e-01,	 0
3.335000e-01,	2.922633e-01,	 0
3.345000e-01,	2.964300e-01,	 0
3.355000e-01,	3.005966e-01,	 0
3.365000e-01,	3.047633e-01,	 0
3.375000e-01,	3.089300e-01,	 0
3.385000e-01,	3.130966e-01,	 0
3.395000e-01,	3.172633e-01,	 0
3.405000e-01,	3.214300e-01,	 0
3.415000e-01,	3.255966e-01,	 0
3.425000e-01,	3.297633e-01,	 0
3.435000e-01,	3.339300e-01,	 0
3.445000e-01,	3.380966e-01,	 0
3.455000e-01,	3.422633e-01,	 0
3.465000e-01,	3.464300e-01,	 0
3.475000e-01,	3.505966e-01,	 0
3.485000e-01,	3.547633e-01,	 0
3.495000e-01,	3.589300e-01,	 0
3.505000e-01,	3.630966e-01,	 0
3.515000e-01,	3.672633e-01,	 0
3.525000e-01,	3.714300e-01,	 0
3.535000e-01,	3.755966e-01,	 0
3.545000e-01,	3.797633e-01,	 0
3.555000e-01,	3.839300e-01,	 0
3.565000e-01,	3.880966e-01,	 0
3.575000e-01,	3.922633e-01,	 0
3.585000e-01,	3.964300e-01,	 0
3.595000e-01,	4.005966e-01,	 0
3.605000e-01,	4.047633e-01,	 0
3.615000e-01,	4.089300e-01,	 0
3.625000e-01,	4.130966e-01,	 0
3.635000e-01,	4.172633e-01,	 0
3.645000e-01,	4.214300e-01,	 0
3.655000e-01,	4.255966e-01,	 0
3.665000e-01,	4.297633e-01,	 0
3.675000e-01,	4.339300e-01,	 0
3.685000e-01,	4.380966e-01,	 0
3.695000e-01,	4.422633e-01,	 0
3.705000e-01,	4.464300e-01,	 0
3.715000e-01,	4.505966e-01,	 0
3.725000e-01,	4.547633e-01,	 0
3.735000e-01,	4.589300e-01,	 0
3.745000e-01,	4.630966e-01,	 0
3.755000e-01,	4.672633e-01,	 0
3.765000e-01,	4.714300e-01,	 0
3.775000e-01,	4.755966e-01,	 0
3.785000e-01,	4.797633e-01,	 0
3.795000e-01,	4.839300e-01,	 0
3.805000e-01,	4.880966e-01,	 0
3.815000e-01,	4.922633e-01,	 0
3.825000e-01,	4.964300e-01,	 0
3.835000e-01,	5.005966e-01,	 0
3.845000e-01,	5.047633e-01,	 0
3.855000e-01,	5.089300e-01,	 0
3.865000e-01,	5.130966e-01,	 0
