Points_0,Points_1,Points_2,Points_Magnitude,Solution,arc_length,Point ID,vtkValidPointMask
-0.424,0,0,0.424,-0.377119,0.576,288,1
-0.422,0,0,0.422,-0.377283,0.578,289,1
-0.42,0,0,0.42,-0.377446,0.58,290,1
-0.418,0,0,0.418,-0.37761,0.582,291,1
-0.416,0,0,0.416,-0.377773,0.584,292,1
-0.414,0,0,0.414,-0.377937,0.586,293,1
-0.412,0,0,0.412,-0.3781,0.588,294,1
-0.41,0,0,0.41,-0.378263,0.59,295,1
-0.408,0,0,0.408,-0.378427,0.592,296,1
-0.406,0,0,0.406,-0.37859,0.594,297,1
-0.404,0,0,0.404,-0.378754,0.596,298,1
-0.402,0,0,0.402,-0.378917,0.598,299,1
-0.4,0,0,0.4,-0.37908,0.6,300,1
-0.398,0,0,0.398,-0.37861,0.602,301,1
-0.396,0,0,0.396,-0.378139,0.604,302,1
-0.394,0,0,0.394,-0.377668,0.606,303,1
-0.392,0,0,0.392,-0.377197,0.608,304,1
-0.39,0,0,0.39,-0.376726,0.61,305,1
-0.388,0,0,0.388,-0.376255,0.612,306,1
-0.386,0,0,0.386,-0.375785,0.614,307,1
-0.384,0,0,0.384,-0.375314,0.616,308,1
-0.382,0,0,0.382,-0.374843,0.618,309,1
-0.38,0,0,0.38,-0.374372,0.62,310,1
-0.378,0,0,0.378,-0.373901,0.622,311,1
-0.376,0,0,0.376,-0.373431,0.624,312,1
-0.374,0,0,0.374,-0.37296,0.626,313,1
-0.372,0,0,0.372,-0.372489,0.628,314,1
-0.37,0,0,0.37,-0.372018,0.63,315,1
-0.368,0,0,0.368,-0.371547,0.632,316,1
-0.366,0,0,0.366,-0.371076,0.634,317,1
-0.364,0,0,0.364,-0.370606,0.636,318,1
-0.362,0,0,0.362,-0.370135,0.638,319,1
-0.36,0,0,0.36,-0.369664,0.64,320,1
-0.358,0,0,0.358,-0.369193,0.642,321,1
-0.356,0,0,0.356,-0.368722,0.644,322,1
-0.354,0,0,0.354,-0.368252,0.646,323,1
-0.352,0,0,0.352,-0.367781,0.648,324,1
-0.35,0,0,0.35,-0.36731,0.65,325,1
-0.348,0,0,0.348,-0.366839,0.652,326,1
-0.346,0,0,0.346,-0.366368,0.654,327,1
-0.344,0,0,0.344,-0.365897,0.656,328,1
-0.342,0,0,0.342,-0.365427,0.658,329,1
-0.34,0,0,0.34,-0.364956,0.66,330,1
-0.338,0,0,0.338,-0.364485,0.662,331,1
-0.336,0,0,0.336,-0.364014,0.664,332,1
-0.334,0,0,0.334,-0.363543,0.666,333,1
-0.332,0,0,0.332,-0.362715,0.668,334,1
-0.33,0,0,0.33,-0.361708,0.67,335,1
-0.328,0,0,0.328,-0.360701,0.672,336,1
-0.326,0,0,0.326,-0.359694,0.674,337,1
-0.324,0,0,0.324,-0.358687,0.676,338,1
-0.322,0,0,0.322,-0.35768,0.678,339,1
-0.32,0,0,0.32,-0.356673,0.68,340,1
-0.318,0,0,0.318,-0.355666,0.682,341,1
-0.316,0,0,0.316,-0.354659,0.684,342,1
-0.314,0,0,0.314,-0.353652,0.686,343,1
-0.312,0,0,0.312,-0.352645,0.688,344,1
-0.31,0,0,0.31,-0.351638,0.69,345,1
-0.308,0,0,0.308,-0.350631,0.692,346,1
-0.306,0,0,0.306,-0.349624,0.694,347,1
-0.304,0,0,0.304,-0.348617,0.696,348,1
-0.302,0,0,0.302,-0.34761,0.698,349,1
-0.3,0,0,0.3,-0.346603,0.7,350,1
-0.298,0,0,0.298,-0.345596,0.702,351,1
-0.296,0,0,0.296,-0.344589,0.704,352,1
-0.294,0,0,0.294,-0.343582,0.706,353,1
-0.292,0,0,0.292,-0.342575,0.708,354,1
-0.29,0,0,0.29,-0.341568,0.71,355,1
-0.288,0,0,0.288,-0.340561,0.712,356,1
-0.286,0,0,0.286,-0.339554,0.714,357,1
-0.284,0,0,0.284,-0.338547,0.716,358,1
-0.282,0,0,0.282,-0.33754,0.718,359,1
-0.28,0,0,0.28,-0.336533,0.72,360,1
-0.278,0,0,0.278,-0.335526,0.722,361,1
-0.276,0,0,0.276,-0.334519,0.724,362,1
-0.274,0,0,0.274,-0.333512,0.726,363,1
-0.272,0,0,0.272,-0.332505,0.728,364,1
-0.27,0,0,0.27,-0.331498,0.73,365,1
-0.268,0,0,0.268,-0.330491,0.732,366,1
-0.266,0,0,0.266,-0.329337,0.734,367,1
-0.264,0,0,0.264,-0.32789,0.736,368,1
-0.262,0,0,0.262,-0.326444,0.738,369,1
-0.26,0,0,0.26,-0.324997,0.74,370,1
-0.258,0,0,0.258,-0.32355,0.742,371,1
-0.256,0,0,0.256,-0.322103,0.744,372,1
-0.254,0,0,0.254,-0.320656,0.746,373,1
-0.252,0,0,0.252,-0.319209,0.748,374,1
-0.25,0,0,0.25,-0.317762,0.75,375,1
