Points_0,Points_1,Points_2,Points_Magnitude,Solution,arc_length,Point ID,vtkValidPointMask
-0.484,0,0,0.484,-0.22854,0.516,258,1
-0.482,0,0,0.482,-0.23244,0.518,259,1
-0.48,0,0,0.48,-0.23634,0.52,260,1
-0.478,0,0,0.478,-0.240239,0.522,261,1
-0.476,0,0,0.476,-0.244139,0.524,262,1
-0.474,0,0,0.474,-0.248039,0.526,263,1
-0.472,0,0,0.472,-0.251938,0.528,264,1
-0.47,0,0,0.47,-0.255838,0.53,265,1
-0.468,0,0,0.468,-0.259738,0.532,266,1
-0.466,0,0,0.466,-0.263584,0.534,267,1
-0.464,0,0,0.464,-0.267324,0.536,268,1
-0.462,0,0,0.462,-0.271064,0.538,269,1
-0.46,0,0,0.46,-0.274803,0.54,270,1
-0.458,0,0,0.458,-0.278543,0.542,271,1
-0.456,0,0,0.456,-0.282283,0.544,272,1
-0.454,0,0,0.454,-0.286023,0.546,273,1
-0.452,0,0,0.452,-0.289763,0.548,274,1
-0.45,0,0,0.45,-0.293503,0.55,275,1
-0.448,0,0,0.448,-0.297242,0.552,276,1
-0.446,0,0,0.446,-0.300982,0.554,277,1
-0.444,0,0,0.444,-0.304722,0.556,278,1
-0.442,0,0,0.442,-0.308462,0.558,279,1
-0.44,0,0,0.44,-0.312202,0.56,280,1
-0.438,0,0,0.438,-0.315942,0.562,281,1
-0.436,0,0,0.436,-0.319681,0.564,282,1
-0.434,0,0,0.434,-0.323421,0.566,283,1
-0.432,0,0,0.432,-0.327161,0.568,284,1
-0.43,0,0,0.43,-0.330901,0.57,285,1
-0.428,0,0,0.428,-0.334641,0.572,286,1
-0.426,0,0,0.426,-0.338381,0.574,287,1
-0.424,0,0,0.424,-0.34212,0.576,288,1
-0.422,0,0,0.422,-0.34586,0.578,289,1
-0.42,0,0,0.42,-0.3496,0.58,290,1
-0.418,0,0,0.418,-0.35334,0.582,291,1
-0.416,0,0,0.416,-0.35708,0.584,292,1
-0.414,0,0,0.414,-0.36082,0.586,293,1
-0.412,0,0,0.412,-0.364559,0.588,294,1
-0.41,0,0,0.41,-0.368299,0.59,295,1
-0.408,0,0,0.408,-0.372039,0.592,296,1
-0.406,0,0,0.406,-0.375779,0.594,297,1
-0.404,0,0,0.404,-0.379519,0.596,298,1
-0.402,0,0,0.402,-0.383259,0.598,299,1
-0.4,0,0,0.4,-0.386998,0.6,300,1
-0.398,0,0,0.398,-0.390515,0.602,301,1
-0.396,0,0,0.396,-0.394031,0.604,302,1
-0.394,0,0,0.394,-0.397547,0.606,303,1
-0.392,0,0,0.392,-0.401063,0.608,304,1
-0.39,0,0,0.39,-0.404579,0.61,305,1
-0.388,0,0,0.388,-0.408095,0.612,306,1
-0.386,0,0,0.386,-0.411611,0.614,307,1
-0.384,0,0,0.384,-0.415127,0.616,308,1
-0.382,0,0,0.382,-0.418643,0.618,309,1
-0.38,0,0,0.38,-0.422159,0.62,310,1
-0.378,0,0,0.378,-0.425675,0.622,311,1
-0.376,0,0,0.376,-0.429191,0.624,312,1
-0.374,0,0,0.374,-0.432707,0.626,313,1
-0.372,0,0,0.372,-0.436223,0.628,314,1
-0.37,0,0,0.37,-0.439739,0.63,315,1
-0.368,0,0,0.368,-0.443256,0.632,316,1
-0.366,0,0,0.366,-0.446772,0.634,317,1
-0.364,0,0,0.364,-0.450288,0.636,318,1
-0.362,0,0,0.362,-0.453804,0.638,319,1
-0.36,0,0,0.36,-0.45732,0.64,320,1
-0.358,0,0,0.358,-0.460836,0.642,321,1
