Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.18265953991270E+00001, 0.66213962729467E-00003, 0.20445374978437E-00002, 0.12410774017827E+00000, 0.12407004542355E+00000, 0.52971540501724E+00000, 0.66210652284028E-00003, 0.66213962729467E-00003, 0.66213862904128E-00003, 0.13823988688024E-00002, 0.16361829491431E+00001, 0.10000060102586E+00001, 0.28764299652899E+00000, -.10671754176092E+00002, 0.66207341838589E-00003, 0.19965067768002E-00008
0.18502219394631E+00001, 0.66807177449184E-00003, 0.19816656827231E-00002, 0.12409272384105E+00000, 0.12405487938951E+00000, 0.53446431669540E+00000, 0.66804222568120E-00003, 0.66807177449184E-00003, 0.66807092584832E-00003, 0.13135947568748E-00002, 0.16659775569493E+00001, 0.10000061053372E+00001, 0.28762559441173E+00000, -.10671754398966E+00002, 0.66801267687056E-00003, 0.16972870376159E-00008
0.18738432106739E+00001, 0.67412424842598E-00003, 0.19099969493499E-00002, 0.12407750898135E+00000, 0.12403944931094E+00000, 0.53931001932769E+00000, 0.67409854451702E-00003, 0.67412424842598E-00003, 0.67412353254198E-00003, 0.12358734168079E-00002, 0.16956224335359E+00001, 0.10000062005261E+00001, 0.28760796115702E+00000, -.10671754623886E+00002, 0.67407284060805E-00003, 0.14317680190747E-00008
0.18974592069809E+00001, 0.68029899747894E-00003, 0.18251439751577E-00002, 0.12406215920610E+00000, 0.12402374524702E+00000, 0.54425381990586E+00000, 0.68027720141532E-00003, 0.68029899747894E-00003, 0.68029825505273E-00003, 0.11448457201049E-00002, 0.17250541672646E+00001, 0.10000062964292E+00001, 0.28759017044642E+00000, -.10671754850893E+00002, 0.68025540535170E-00003, 0.14848524173621E-00008
0.19210697762307E+00001, 0.68659749164875E-00003, 0.17237633048637E-00002, 0.12404670151246E+00000, 0.12400782634048E+00000, 0.54929686793146E+00000, 0.68657967788319E-00003, 0.68659749164875E-00003, 0.68659658112895E-00003, 0.10371667237348E-00002, 0.17542119155245E+00001, 0.10000063933476E+00001, 0.28757225354388E+00000, -.10671755080029E+00002, 0.68656186411762E-00003, 0.18210396049655E-00008
0.19446747068240E+00001, 0.69302112968078E-00003, 0.16055008624402E-00002, 0.12403111898510E+00000, 0.12399179161113E+00000, 0.55444034608908E+00000, 0.69300752124784E-00003, 0.69302112968078E-00003, 0.69302002254962E-00003, 0.91248083989062E-00003, 0.17830419498798E+00001, 0.10000064911742E+00001, 0.28755419081755E+00000, -.10671755311331E+00002, 0.69299391281490E-00003, 0.22142623161944E-00008
0.19682738484421E+00001, 0.69957176734644E-00003, 0.14740675659401E-00002, 0.12401537146709E+00000, 0.12397572522541E+00000, 0.55968554182529E+00000, 0.69956260768382E-00003, 0.69957176734644E-00003, 0.69957046472036E-00003, 0.77449710121977E-00003, 0.18114961434675E+00001, 0.10000065896123E+00001, 0.28753593568699E+00000, -.10671755544843E+00002, 0.69955344802121E-00003, 0.26052521462873E-00008
0.19918672094603E+00001, 0.70625134068633E-00003, 0.13356024349806E-00002, 0.12399940852915E+00000, 0.12395963080683E+00000, 0.56503386451518E+00000, 0.70624689459344E-00003, 0.70625134068633E-00003, 0.70624987382378E-00003, 0.62935256115684E-00003, 0.18395270316002E+00001, 0.10000066884252E+00001, 0.28751742965039E+00000, -.10671755780607E+00002, 0.70624244850055E-00003, 0.29337251032073E-00008
0.20000000000000E+00001, 0.70861270287699E-00003, 0.12865189564042E-00002, 0.12399384663400E+00000, 0.12395406094699E+00000, 0.56692459507967E+00000, 0.70860998626426E-00003, 0.70861270287699E-00003, 0.70861120402170E-00003, 0.57790775238250E-00003, 0.18491989049866E+00001, 0.10000067225651E+00001, 0.28751098139491E+00000, -.10671755862420E+00002, 0.70860726965154E-00003, 0.29977105751868E-00008
0.20141521858283E+00001, 0.71268198439219E-00003, 0.12020669547187E-00002, 0.12398409119533E+00000, 0.12394431854385E+00000, 0.57018290823378E+00000, 0.71268233475673E-00003, 0.71268198439219E-00003, 0.71268047286317E-00003, 0.48938648185556E-00003, 0.18655746899284E+00001, 0.10000067820879E+00001, 0.28749967095092E+00000, -.10671756005458E+00002, 0.71268268512127E-00003, 0.30230580361443E-00008
