Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.44234633624306E+00001, 0.26072503713112E-00002, 0.26877124444563E-00002, 0.11926081784255E+00000, 0.11920483216885E+00000, 0.20810448334425E+00001, 0.26058005829363E-00002, 0.26072503713112E-00002, 0.26071197651522E-00002, 0.80592679304126E-00004, 0.17153161493814E+00002, 0.10000337445872E+00001, 0.28197023228532E+00000, -.10671822879023E+00002, 0.26043507945614E-00002, 0.26121231808245E-00006
0.44640169082843E+00001, 0.26813812405599E-00002, 0.27716377857346E-00002, 0.11904296074398E+00000, 0.11898582294658E+00000, 0.21402732920891E+00001, 0.26799796103673E-00002, 0.26813812405599E-00002, 0.26812438693759E-00002, 0.90393916358674E-00004, 0.17665031775215E+00002, 0.10000349796573E+00001, 0.28171257307640E+00000, -.10671825939594E+00002, 0.26785779801747E-00002, 0.27474236793322E-00006
0.45000000000000E+00001, 0.27507464217928E-00002, 0.28453785295128E-00002, 0.11884208745866E+00000, 0.11878387082833E+00000, 0.21957456360104E+00001, 0.27494221392419E-00002, 0.27507464217928E-00002, 0.27506033722424E-00002, 0.94775157270372E-00004, 0.18110641427798E+00002, 0.10000361169169E+00001, 0.28147479159913E+00000, -.10671828759503E+00002, 0.27480978566909E-00002, 0.28609910075870E-00006
0.45040495148091E+00001, 0.27583907138058E-00002, 0.28528759854708E-00002, 0.11881906231454E+00000, 0.11876070464603E+00000, 0.22018610289554E+00001, 0.27570765474925E-00002, 0.27583907138058E-00002, 0.27582470577814E-00002, 0.94628927689422E-00004, 0.18157693998963E+00002, 0.10000362471553E+00001, 0.28144752301218E+00000, -.10671829083030E+00002, 0.27557623811792E-00002, 0.28731204874573E-00006
0.45445256312294E+00001, 0.28405211981018E-00002, 0.29327565871423E-00002, 0.11858434447441E+00000, 0.11852439028276E+00000, 0.22675905553948E+00001, 0.28393310975328E-00002, 0.28405211981018E-00002, 0.28403708672509E-00002, 0.92385719891338E-00004, 0.18637524043195E+00002, 0.10000375735774E+00001, 0.28116939671594E+00000, -.10671832385562E+00002, 0.28381409969638E-00002, 0.30066170176724E-00006
0.45849725642519E+00001, 0.29273393279713E-00002, 0.30284758937833E-00002, 0.11834091825528E+00000, 0.11827935710140E+00000, 0.23371029270459E+00001, 0.29263016606739E-00002, 0.29273393279713E-00002, 0.29271820817659E-00002, 0.10129381201739E-00003, 0.19414885076450E+00002, 0.10000389468535E+00001, 0.28088066060788E+00000, -.10671835810839E+00002, 0.29252639933764E-00002, 0.31449241095174E-00006
0.46253910510722E+00001, 0.30193460023866E-00002, 0.31312718119668E-00002, 0.11808814792382E+00000, 0.11802527278978E+00000, 0.24107800270399E+00001, 0.30184777370049E-00002, 0.30193460023866E-00002, 0.30191815050787E-00002, 0.11209030688810E-00003, 0.21120169309663E+00002, 0.10000403730159E+00001, 0.28058052667499E+00000, -.10671839358885E+00002, 0.30176094716232E-00002, 0.32899461587834E-00006
0.46657787843502E+00001, 0.31170350290173E-00002, 0.32305899853285E-00002, 0.11782641695761E+00000, 0.11776241505942E+00000, 0.24890031705138E+00001, 0.31163386082905E-00002, 0.31170350290173E-00002, 0.31168631883939E-00002, 0.11372679693466E-00003, 0.22827053841862E+00002, 0.10000418522551E+00001, 0.28026941438267E+00000, -.10671843028697E+00002, 0.31156421875636E-00002, 0.34368124694113E-00006
0.47061413058800E+00001, 0.32208720064822E-00002, 0.33322526993129E-00002, 0.11755631414323E+00000, 0.11749117293676E+00000, 0.25721254988976E+00001, 0.32203331394302E-00002, 0.32208720064822E-00002, 0.32206929391774E-00002, 0.11155976013548E-00003, 0.24511201939362E+00002, 0.10000433775833E+00001, 0.27994798819689E+00000, -.10671846819439E+00002, 0.32197942723782E-00002, 0.35813460957291E-00006
0.47464520836536E+00001, 0.33311498713144E-00002, 0.34510087107399E-00002, 0.11727798848097E+00000, 0.11721159990659E+00000, 0.26603425861357E+00001, 0.33307358520496E-00002, 0.33311498713144E-00002, 0.33309629121124E-00002, 0.12004579862753E-00003, 0.26148140394844E+00002, 0.10000449437059E+00001, 0.27961639017407E+00000, -.10671850728043E+00002, 0.33303218327848E-00002, 0.37391840401767E-00006
0.47866971105134E+00001, 0.34480246270753E-00002, 0.35767012402794E-00002, 0.11699109164834E+00000, 0.11692343322974E+00000, 0.27537472976974E+00001, 0.34476874254383E-00002, 0.34480246270753E-00002, 0.34478294393323E-00002, 0.12887180094707E-00003, 0.27714522216360E+00002, 0.10000465558100E+00001, 0.27927416833444E+00000, -.10671854753973E+00002, 0.34473502238013E-00002, 0.39037548607703E-00006
0.48268869422557E+00001, 0.35715285066584E-00002, 0.37025371813418E-00002, 0.11669540930242E+00000, 0.11662671385733E+00000, 0.28523478793777E+00001, 0.35712054055869E-00002, 0.35715285066584E-00002, 0.35713243599494E-00002, 0.13121282139243E-00003, 0.29185719412969E+00002, 0.10000482218300E+00001, 0.27892102741627E+00000, -.10671858899913E+00002, 0.35708823045154E-00002, 0.40829341794720E-00006
0.48670348960888E+00001, 0.37015482762793E-00002, 0.38387121516383E-00002, 0.11639070699974E+00000, 0.11632127406059E+00000, 0.29560382718654E+00001, 0.37011656220129E-00002, 0.37015482762793E-00002, 0.37013351864292E-00002, 0.13737696520910E-00003, 0.30532381882870E+00002, 0.10000499397335E+00001, 0.27855664534614E+00000, -.10671863168690E+00002, 0.37007829677464E-00002, 0.42617970023026E-00006
0.49071584797695E+00001, 0.38377978808948E-00002, 0.39786271763459E-00002, 0.11607698374057E+00000, 0.11600679475804E+00000, 0.30645815567526E+00001, 0.38372771906348E-00002, 0.38377978808948E-00002, 0.38375754497737E-00002, 0.14105172657217E-00003, 0.31703865729283E+00002, 0.10000517037083E+00001, 0.27818097675263E+00000, -.10671867563911E+00002, 0.38367565003748E-00002, 0.44486224228560E-00006
0.49472905667909E+00001, 0.39799803331716E-00002, 0.41203422812951E-00002, 0.11575437180535E+00000, 0.11568316807794E+00000, 0.31777566167757E+00001, 0.39792511168639E-00002, 0.39799803331716E-00002, 0.39797476578673E-00002, 0.14059462342775E-00003, 0.32612631707332E+00002, 0.10000535157572E+00001, 0.27779413457373E+00000, -.10671872089711E+00002, 0.39785219005562E-00002, 0.46535060849746E-00006
0.49874748610180E+00001, 0.41275514519225E-00002, 0.42724034424572E-00002, 0.11542211847770E+00000, 0.11534990243028E+00000, 0.32951141609701E+00001, 0.41265401759378E-00002, 0.41275514519225E-00002, 0.41273088502848E-00002, 0.14509459217237E-00003, 0.33270154788460E+00002, 0.10000553849103E+00001, 0.27739516755909E+00000, -.10671876753002E+00002, 0.41255288999531E-00002, 0.48520327538198E-00006
0.50000000000000E+00001, 0.41750501706245E-00002, 0.43240092726734E-00002, 0.11531649274604E+00000, 0.11524403395806E+00000, 0.33328618315412E+00001, 0.41739335147162E-00002, 0.41750501706245E-00002, 0.41748044912531E-00002, 0.14920478142029E-00003, 0.33419241948966E+00002, 0.10000559795643E+00001, 0.27726821280250E+00000, -.10671878234107E+00002, 0.41728168588080E-00002, 0.49135874267620E-00006
0.50241257828977E+00001, 0.42656130727273E-00002, 0.44243216362890E-00002, 0.11511008577497E+00000, 0.11503728977301E+00000, 0.34047977867009E+00001, 0.42642761951717E-00002, 0.42656130727273E-00002, 0.42653617846348E-00002, 0.15895985165421E-00003, 0.33609594021259E+00002, 0.10000571410469E+00001, 0.27701995809564E+00000, -.10671881124915E+00002, 0.42629393176161E-00002, 0.50257618505974E-00006
0.50642935307208E+00001, 0.44191361175577E-00002, 0.45839462261155E-00002, 0.11475786556771E+00000, 0.11468476234317E+00000, 0.35266618933091E+00001, 0.44173703065217E-00002, 0.44191361175577E-00002, 0.44188763237655E-00002, 0.16506990235003E-00003, 0.33615135989856E+00002, 0.10000591194439E+00001, 0.27659581289637E+00000, -.10671886050965E+00002, 0.44156044954858E-00002, 0.51958758432364E-00006
0.51044197830290E+00001, 0.45731477420272E-00002, 0.47262034547508E-00002, 0.11439627987171E+00000, 0.11432284722969E+00000, 0.36488456346505E+00001, 0.45708894353256E-00002, 0.45731477420272E-00002, 0.45728797518035E-00002, 0.15332370294729E-00003, 0.33209952043335E+00002, 0.10000611480186E+00001, 0.27615971208911E+00000, -.10671891113678E+00002, 0.45686311286240E-00002, 0.53598044750341E-00006
0.51444912762210E+00001, 0.47261931593913E-00002, 0.48815449634939E-00002, 0.11402607881068E+00000, 0.11395215878156E+00000, 0.37702093094760E+00001, 0.47234033937634E-00002, 0.47261931593913E-00002, 0.47259170403130E-00002, 0.15562792318092E-00003, 0.32903101030853E+00002, 0.10000632253726E+00001, 0.27571250583494E+00000, -.10671896306138E+00002, 0.47206136281355E-00002, 0.55223815655794E-00006
0.51845192354186E+00001, 0.48771200571879E-00002, 0.50527401894514E-00002, 0.11364673680799E+00000, 0.11357240437130E+00000, 0.38898528849129E+00001, 0.48737941251968E-00002, 0.48771200571879E-00002, 0.48768360393426E-00002, 0.17590415010880E-00003, 0.33722510327427E+00002, 0.10000653536586E+00001, 0.27525350352962E+00000, -.10671901621185E+00002, 0.48704681932056E-00002, 0.56803569064220E-00006
0.52245312945007E+00001, 0.50247580410275E-00002, 0.52088196440556E-00002, 0.11325816816328E+00000, 0.11318370785393E+00000, 0.40069228098252E+00001, 0.50209290336614E-00002, 0.50247580410275E-00002, 0.50244665228849E-00002, 0.18435312117065E-00003, 0.34236816085653E+00002, 0.10000675329233E+00001, 0.27478254209863E+00000, -.10671907055237E+00002, 0.50171000262953E-00002, 0.58303628510463E-00006
0.52645538743331E+00001, 0.51678275269540E-00002, 0.53398717411586E-00002, 0.11286129393719E+00000, 0.11278687988272E+00000, 0.41204948916444E+00001, 0.51635668889160E-00002, 0.51678275269540E-00002, 0.51675299603009E-00002, 0.17234178085774E-00003, 0.34616991611307E+00002, 0.10000697588171E+00001, 0.27430067922773E+00000, -.10671912607931E+00002, 0.51593062508780E-00002, 0.59513330611099E-00006
0.53046019023212E+00001, 0.53050985317937E-00002, 0.54754373926301E-00002, 0.11245654909179E+00000, 0.11238207365301E+00000, 0.42296091458487E+00001, 0.53005087992559E-00002, 0.53050985317937E-00002, 0.53047963637007E-00002, 0.17064102892941E-00003, 0.35040413949959E+00002, 0.10000720279751E+00001, 0.27380838688372E+00000, -.10671918280337E+00002, 0.52959190667180E-00002, 0.60433618603554E-00006
