Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.11000000000000E+00002, 0.24981258307559E-00002, 0.26699508744567E-00002, 0.49778491191979E-00001, 0.49770025848789E-00001, 0.19962834386498E+00001, 0.24979068426839E-00002, 0.24981258307559E-00002, 0.24979741774926E-00002, 0.17197669696403E-00003, 0.12443866709702E+00002, 0.10004224171124E+00001, 0.18216931902670E+00000, -.10672795852233E+00002, 0.24976878546119E-00002, 0.30330652662002E-00006
0.11007267420446E+00002, 0.24953654059972E-00002, 0.26775622143118E-00002, 0.49734251515045E-00001, 0.49725820860206E-00001, 0.19940832383324E+00001, 0.24951481497832E-00002, 0.24953654059972E-00002, 0.24952141472537E-00002, 0.18234806705810E-00003, 0.12470607394642E+00002, 0.10004226635073E+00001, 0.18208835129326E+00000, -.10672796471882E+00002, 0.24949308935692E-00002, 0.30251748704928E-00006
0.11031498554648E+00002, 0.24860379600663E-00002, 0.27030070671566E-00002, 0.49587622625910E-00001, 0.49579330457163E-00001, 0.19866478476278E+00001, 0.24858259267618E-00002, 0.24860379600663E-00002, 0.24858878965265E-00002, 0.21711917063010E-00003, 0.12553488610442E+00002, 0.10004234802976E+00001, 0.18181973238332E+00000, -.10672798525099E+00002, 0.24856138934573E-00002, 0.30012707970930E-00006
0.11055739269363E+00002, 0.24767438826681E-00002, 0.27272137453693E-00002, 0.49442382842276E-00001, 0.49434257920491E-00001, 0.19792373966417E+00001, 0.24765359147979E-00002, 0.24767438826681E-00002, 0.24765946476290E-00002, 0.25061909774028E-00003, 0.12624235794916E+00002, 0.10004242902695E+00001, 0.18155326645786E+00000, -.10672800558807E+00002, 0.24763279469278E-00002, 0.29847007817626E-00006
0.11079982344247E+00002, 0.24675154543007E-00002, 0.27523343224007E-00002, 0.49298689647429E-00001, 0.49290737463561E-00001, 0.19718772818772E+00001, 0.24673102453410E-00002, 0.24675154543007E-00002, 0.24673665768815E-00002, 0.28496774551929E-00003, 0.12682091701510E+00002, 0.10004250929003E+00001, 0.18128925257247E+00000, -.10672802571627E+00002, 0.24671050363814E-00002, 0.29775483844601E-00006
0.11104221644874E+00002, 0.24583890948440E-00002, 0.27803483469586E-00002, 0.49156627296554E-00001, 0.49148829071725E-00001, 0.19645968186501E+00001, 0.24581855337920E-00002, 0.24583890948440E-00002, 0.24582402908996E-00002, 0.32210805605906E-00003, 0.12726254035111E+00002, 0.10004258871050E+00001, 0.18102785659773E+00000, -.10672804562287E+00002, 0.24579819727400E-00002, 0.29760788881495E-00006
0.11128457343438E+00002, 0.24494035114942E-00002, 0.28103896949981E-00002, 0.49016207118473E-00001, 0.49008536180603E-00001, 0.19574271375140E+00001, 0.24492005293950E-00002, 0.24494035114942E-00002, 0.24492546079609E-00002, 0.36113508703720E-00003, 0.12755886451510E+00002, 0.10004266718055E+00001, 0.18076911078034E+00000, -.10672806530070E+00002, 0.24489975472959E-00002, 0.29780706642780E-00006
0.11152690056989E+00002, 0.24406013050458E-00002, 0.28412260996319E-00002, 0.48877448244747E-00001, 0.48869888083001E-00001, 0.19504022406359E+00001, 0.24403975303269E-00002, 0.24406013050458E-00002, 0.24404519735008E-00002, 0.40077412613110E-00003, 0.12770177277496E+00002, 0.10004274462322E+00001, 0.18051306184456E+00000, -.10672808474360E+00002, 0.24401937556079E-00002, 0.29866309002093E-00006
0.11176920539874E+00002, 0.24320314286547E-00002, 0.28732925484788E-00002, 0.48740377246394E-00001, 0.48732926992393E-00001, 0.19435616313265E+00001, 0.24318254175072E-00002, 0.24320314286547E-00002, 0.24318812653970E-00002, 0.44141128308173E-00003, 0.12768360105967E+00002, 0.10004282101537E+00001, 0.18025977041739E+00000, -.10672810394620E+00002, 0.24316194063596E-00002, 0.30032651531926E-00006
0.11201149647496E+00002, 0.24237432783289E-00002, 0.29063705498934E-00002, 0.48605022003763E-00001, 0.48597688782033E-00001, 0.19369454392103E+00001, 0.24235339673730E-00002, 0.24237432783289E-00002, 0.24235920507341E-00002, 0.48277849915923E-00003, 0.12749695105531E+00002, 0.10004289638941E+00001, 0.18000929976673E+00000, -.10672812290425E+00002, 0.24233246564171E-00002, 0.30245518960238E-00006
